ID,fecha,temperatura,precipitacion,altitud
ML104776411,2018,21.658307997840193,16.98802016065533,107.6432418823242
ML134949711,2017,14.851602321569285,5.240691382477318,2827.36279296875
ML145137171,2019,17.324056930836534,20.080963315076882,1040.869384765625
ML155228091,2019,13.565834435547416,12.273602564681408,2698.716064453125
ML160994421,2019,13.724348131538147,11.67173206037791,2753.991943359375
ML168748811,2019,18.392496776392157,11.199500769480894,1193.99658203125
ML176085171,2019,12.525522462221266,4.827568681800268,2753.991943359375
ML176342261,2019,15.584344937248286,14.642368631711829,1518.926635742188
ML185348451,2019,16.183700779241697,12.982610660176025,1268.448974609375
ML215054161,2016,20.103798208608847,8.973234083379518,964.281494140625
ML215584781,2020,19.43482192984554,11.13503207847284,647.1864013671875
ML223560251,2020,13.86878735153249,7.782298357584218,2638.706787109375
ML246946471,2019,18.627163818041794,1.7515538098979784,920.2996826171875
ML253740121,2020,13.62083332446116,2.5775818973727156,2613.200439453125
ML264215601,2020,13.457763943015781,7.224285802019517,2613.200439453125
ML265449341,2020,13.435875756676344,1.2355298004279467,2753.991943359375
ML302220931,2021,16.6668976175615,4.313406808735939,1300.969970703125
ML335305611,2021,12.732808261968168,0.0916166590473579,2564.25
ML379312001,2021,13.203424806918779,0.5897163471230457,2613.200439453125
ML381022231,2021,13.547824980766501,1.413355913734705,2753.991943359375
ML391643051,2021,17.834938179893815,2.104111508967482,1223.269775390625
ML391643061,2021,17.834938179893815,2.104111508967482,1223.269775390625
ML394579281,2021,21.826801420167776,1.1767332392767795,133.4256896972656
ML394579371,2021,21.826801420167776,1.1767332392767795,133.4256896972656
ML396132321,2021,17.834938179893815,2.104111508967482,1223.269775390625
ML400161631,2021,15.81394592270875,5.72875058153742,2551.170166015625
ML418927381,2022,12.882597462832235,6.547147191857096,2613.200439453125
ML418927411,2022,12.882597462832235,6.547147191857096,2613.200439453125
ML419328951,2022,12.882597462832235,6.547147191857096,2613.200439453125
ML432077551,2022,20.713504108950616,30.886584289203334,2271.081787109375
ML433146461,2022,12.32665992246957,13.32681456118137,2613.200439453125
ML433262271,2022,12.32665992246957,13.32681456118137,2613.200439453125
ML435163371,2022,14.256836988460275,6.046857380278594,2642.37060546875
ML46892261,2016,21.654028119713935,0.3478823505885661,133.4256896972656
ML472610061,2022,11.99573467606756,3.118628551545119,2613.200439453125
ML472770151,2022,22.233488071381483,0.8049595585999341,121.8756256103516
ML491945461,2023,18.122822870513403,13.29857590352658,2001.415771484375
ML500026221,2022,15.88780422080011,8.00369778855275,2748.160400390625
ML528465711,2023,15.993199325162673,22.53335452085566,1186.8818359375
ML528465751,2023,15.993199325162673,22.53335452085566,1186.8818359375
ML590680711,2023,18.661202511498715,0.08789667334426148,1237.87646484375
ML590839041,2023,18.829042950534834,0.09248873913316391,1448.85205078125
ML606407281,2023,15.940471591204078,6.213063654092957,2540.60791015625
ML606410871,2023,15.940471591204078,6.213063654092957,2540.60791015625
ML610239872,2022,14.22411874012419,2.759500093021747,2126.03955078125
ML612537754,2023,19.61918200999187,6.484220269909982,964.281494140625
ML612592373,2023,19.191012832945624,4.736939688665928,997.1474609375
ML613946456,2024,12.747869452558788,0.6462338241763322,2967.29931640625
ML614013052,2024,13.87934424529207,0.4873365715751014,2540.255859375
ML614561334,2024,21.360160726750458,1.6643492958402832,1512.567016601562
ML614804965,2020,17.993099095189738,11.075956142054537,1037.616455078125
ML616703718,2024,17.43056284688264,43.8608335747693,1040.869384765625
ML69012591,2017,15.52950932989372,18.6539819380782,2438.3759765625
ML83789761,2018,14.684671171990527,1.4432942325086742,2438.3759765625
ML87782381,2018,19.319657017615093,26.499568212372616,1630.4140625
ML90485401,2016,13.554399033096889,14.81858746864638,2569.89697265625
ML98599161,2018,17.603356693825425,14.550880797402709,3077.200439453125
XC127873,2013,16.671298888791025,17.330800532509294,1253.091674804688
XC202803,2014,18.695888574482154,3.8579457402929065,751.671875
XC211072,2015,13.223266831796023,1.7247119479946749,2643.577392578125
XC211079,2015,13.265327566358922,1.7267552928265144,2609.249755859375
XC215991,2015,12.725765807956124,7.415752553381658,2975.84228515625
XC245523,2015,19.295180456939324,11.245994199551797,1661.507080078125
XC245534,2015,19.295180456939324,11.245994199551797,1661.507080078125
XC245584,2015,18.910259735804587,12.314361403836246,2847.7646484375
XC247859,2015,13.195332144939037,23.03023612024671,3280.25830078125
XC267703,2015,17.61822069213585,3.454424274834623,2773.00634765625
XC299429,2014,16.52403508180041,10.92044486939302,1233.732543945312
XC302211,2016,18.961886773530466,5.823866793180047,1148.583984375
XC308138,2016,15.862155987255862,2.6678183881559367,2552.89453125
XC311839,2014,19.902583168333692,8.947452263693433,1530.428588867188
XC312397,2016,20.333370115382543,9.108998038969021,872.8558349609375
XC331467,2016,19.32757620130382,10.406687333704198,2647.302001953125
XC331468,2016,19.32757620130382,10.406687333704198,2647.302001953125
XC376458,2017,16.60864685240446,7.145403627304205,1550.279174804688
XC402340,2018,14.762010477286754,1.4775693948856299,2326.18115234375
XC423762,2017,17.02027065824142,12.156241961326025,2091.326416015625
XC432481,2018,19.6202037226324,7.9034493990140655,964.281494140625
XC442567,2018,18.601000565799414,27.406722342505297,929.1038818359375
XC460825,2019,17.56646412293076,10.27425930420689,889.398193359375
XC469911,2019,13.590936800483071,12.096832548730681,2658.412109375
XC476982,2019,13.690637622255228,11.808947178668987,2799.038818359375
XC484121,2023,17.1841275891073,6.860231096595918,1762.445922851562
XC485489,2019,19.372552579917123,2.039669799069092,690.74639892578125
XC538307,2020,17.68900478244813,9.639738303938225,1174.746704101562
XC550983,2020,14.903971301604688,6.225654319117136,2653.7490234375
XC572620,2020,20.716419447984958,32.98191288349235,2342.922607421875
XC572856,2019,18.627163818041794,1.7515538098979784,920.2996826171875
XC585286,2020,14.675051602246754,4.868882414913064,2632.974365234375
XC672764,2021,14.634528444866964,4.404104934270395,2643.577392578125
XC687383,2021,16.119707122399262,14.702769539404411,1776.60693359375
XC724947,2022,21.735898577766726,0.8693637005013412,156.4029388427734
XC738023,2022,16.65924635853345,12.693525977136856,3387.26220703125
XC742271,2022,16.300570405692905,67.52454036698342,1014.925537109375
XC764089,2022,22.740619152200402,1.6835997842134212,130.90771484375
XC769052,2022,22.740619152200402,1.6835997842134212,130.90771484375
XC771746,2021,21.85638705602531,1.183450831868377,130.90771484375
XC771976,2022,23.081906557964302,1.5617916027468612,107.6432418823242
XC780564 ,2023,16.415797080068316,22.92827676693463,1029.528198242188
XC780567,2023,16.415797080068316,22.92827676693463,1029.528198242188
XC786228,2023,16.418064501398625,15.058762633964438,1981.697875976562
XC854527,2023,18.124475421732562,16.609461277274395,1298.281005859375
XC871762,2024,21.274909988814784,1.6181655886614754,1289.904541015625
