Selection	View	Channel	Begin Time (s)	End Time (s)	Low Freq (Hz)	High Freq (Hz)	Peak Freq (Hz)	Delta Time (s)	Max Power (dB)	total elementos	tipo de nota	canto	nombre archivo
1	Waveform 1	1	3.624670800	3.984242173	1544.5	1912.2		0.360		3	d	1	ML90485401
1	Spectrogram 1	1	3.624670800	3.984242173	1544.5	1912.2	1808.8	0.360	96.1	3	d	1	ML90485401
2	Waveform 1	1	4.155142491	4.488010370	1192.3	1630.7		0.333		3	d	1	ML90485401
2	Spectrogram 1	1	4.155142491	4.488010370	1192.3	1630.7	1464.3	0.333	104.8	3	d	1	ML90485401
3	Waveform 1	1	4.586773367	5.054983130	1192.3	1765.1		0.468		3	d	1	ML90485401
3	Spectrogram 1	1	4.586773367	5.054983130	1192.3	1765.1	1464.3	0.468	106.6	3	d	1	ML90485401
4	Waveform 1	1	3.624748619	4.894036024	1174.7	1897.6		1.269		3	t	1	ML90485401
4	Spectrogram 1	1	3.624748619	4.894036024	1174.7	1897.6	1464.3	1.269	106.6	3	t	1	ML90485401
6	Waveform 1	1	3.983221719	4.153313547	1094.2	1907.4		0.170		NA	cad	1	ML90485401
6	Spectrogram 1	1	3.983221719	4.153313547	1094.2	1907.4	1550.4	0.170	77.8	NA	cad	1	ML90485401
7	Waveform 1	1	4.488010370	4.584944422	1094.2	1895.4		0.097		NA	cad	1	ML90485401
7	Spectrogram 1	1	4.488010370	4.584944422	1094.2	1895.4	1464.3	0.097	80.5	NA	cad	1	ML90485401
8	Waveform 1	1	43.476978097	43.831793308	1557.4	1964.8		0.355		3	d	2	ML90485401
8	Spectrogram 1	1	43.476978097	43.831793308	1557.4	1964.8	1722.7	0.355	102.1	3	d	2	ML90485401
9	Waveform 1	1	43.976279915	44.340239848	1222.0	1677.2		0.364		3	d	2	ML90485401
9	Spectrogram 1	1	43.976279915	44.340239848	1222.0	1677.2	1464.3	0.364	106.9	3	d	2	ML90485401
10	Waveform 1	1	44.453634400	44.890752108	1246.0	1797.0		0.437		3	d	2	ML90485401
10	Spectrogram 1	1	44.453634400	44.890752108	1246.0	1797.0	1636.5	0.437	111.5	3	d	2	ML90485401
11	Waveform 1	1	43.475149153	44.894409997	1246.0	1964.8		1.419		t	d	2	ML90485401
11	Spectrogram 1	1	43.475149153	44.894409997	1246.0	1964.8	1636.5	1.419	111.5	t	d	2	ML90485401
12	Waveform 1	1	43.831793308	43.976279915	1246.0	1964.8		0.144		NA	cad	2	ML90485401
12	Spectrogram 1	1	43.831793308	43.976279915	1246.0	1964.8	1722.7	0.144	78.1	NA	cad	2	ML90485401
13	Waveform 1	1	44.338410903	44.453634400	1222.0	1988.7		0.115		NA	cad	2	ML90485401
13	Spectrogram 1	1	44.338410903	44.453634400	1222.0	1988.7	1378.1	0.115	86.7	NA	cad	2	ML90485401
14	Waveform 1	1	80.301481036	80.616059470	1613.1	1928.8		0.315		3	d	3	ML90485401
14	Spectrogram 1	1	80.301481036	80.616059470	1613.1	1928.8	1722.7	0.315	93.9	3	d	3	ML90485401
15	Waveform 1	1	80.762375021	81.097071844	1017.0	1578.1		0.335		3	d	3	ML90485401
15	Spectrogram 1	1	80.762375021	81.097071844	1017.0	1578.1	1464.3	0.335	111.7	3	d	3	ML90485401
16	Waveform 1	1	81.225097951	81.621978883	1297.5	1718.3		0.397		3	d	3	ML90485401
16	Spectrogram 1	1	81.225097951	81.621978883	1297.5	1718.3	1464.3	0.397	111.6	3	d	3	ML90485401
17	Waveform 1	1	80.301481036	81.623807827	1122.2	1928.8		1.322		3	t	3	ML90485401
17	Spectrogram 1	1	80.301481036	81.623807827	1122.2	1928.8	1464.3	1.322	111.7	3	t	3	ML90485401
18	Waveform 1	1	80.616059470	80.762375021	1087.1	1893.7		0.146		NA	cad	3	ML90485401
18	Spectrogram 1	1	80.616059470	80.762375021	1087.1	1893.7	1722.7	0.146	72.3	NA	cad	3	ML90485401
19	Waveform 1	1	81.098900788	81.223269007	1087.1	1858.6		0.124		NA	cad	3	ML90485401
19	Spectrogram 1	1	81.098900788	81.223269007	1087.1	1858.6	1378.1	0.124	89.4	NA	cad	3	ML90485401
