Selection	View	Channel	Begin Time (s)	End Time (s)	Low Freq (Hz)	High Freq (Hz)	Peak Freq (Hz)	Delta Time (s)	Max Power (dB)	total elementos	tipo de nota	canto	nombre archivo
1	Waveform 1	1	4.701052374	5.066163665	1399.3	1822.3		0.365		3	d	1	ML302220931
1	Spectrogram 1	1	4.701052374	5.066163665	1399.3	1822.3	1550.4	0.365	87.3	3	d	1	ML302220931
2	Waveform 1	1	5.296183778	5.745270665	1278.4	1595.7		0.449		3	d	1	ML302220931
2	Spectrogram 1	1	5.296183778	5.745270665	1278.4	1595.7	1464.3	0.449	85.1	3	d	1	ML302220931
3	Waveform 1	1	5.924175197	6.274682036	1278.4	1777.0		0.351		3	d	1	ML302220931
3	Spectrogram 1	1	5.924175197	6.274682036	1278.4	1777.0	1550.4	0.351	86.4	3	d	1	ML302220931
4	Waveform 1	1	4.701052374	6.274682036	1278.4	1822.3		1.574		3	t	1	ML302220931
4	Spectrogram 1	1	4.701052374	6.274682036	1278.4	1822.3	1550.4	1.574	87.3	3	t	1	ML302220931
5	Waveform 1	1	5.066163665	5.296183778	1278.4	1822.3		0.230		NA	cad	1	ML302220931
5	Spectrogram 1	1	5.066163665	5.296183778	1278.4	1822.3	1550.4	0.230	71.8	NA	cad	1	ML302220931
6	Waveform 1	1	5.745270665	5.924175197	1278.4	1822.3		0.179		NA	cad	1	ML302220931
6	Spectrogram 1	1	5.745270665	5.924175197	1278.4	1822.3	1378.1	0.179	69.2	NA	cad	1	ML302220931
7	Waveform 1	1	16.436889583	16.809303099	1395.1	1808.5		0.372		3	d	2	ML302220931
7	Spectrogram 1	1	16.436889583	16.809303099	1395.1	1808.5	1550.4	0.372	82.0	3	d	2	ML302220931
8	Waveform 1	1	17.035672100	17.473805648	1316.4	1513.2		0.438		3	d	2	ML302220931
8	Spectrogram 1	1	17.035672100	17.473805648	1316.4	1513.2	1464.3	0.438	82.8	3	d	2	ML302220931
9	Waveform 1	1	17.656361293	17.992263681	1277.0	1808.5		0.336		3	d	2	ML302220931
9	Spectrogram 1	1	17.656361293	17.992263681	1277.0	1808.5	1550.4	0.336	84.0	3	d	2	ML302220931
10	Waveform 1	1	16.433238470	17.992263681	1237.6	1769.2		1.559		3	t	2	ML302220931
10	Spectrogram 1	1	16.433238470	17.992263681	1237.6	1769.2	1550.4	1.559	84.0	3	t	2	ML302220931
11	Waveform 1	1	16.809303099	17.032020987	1296.7	1788.9		0.223		NA	cad	2	ML302220931
11	Spectrogram 1	1	16.809303099	17.032020987	1296.7	1788.9	1550.4	0.223	71.1	NA	cad	2	ML302220931
12	Waveform 1	1	17.481107874	17.656361293	1277.0	1808.5		0.175		NA	cad	2	ML302220931
12	Spectrogram 1	1	17.481107874	17.656361293	1277.0	1808.5	1378.1	0.175	62.4	NA	cad	2	ML302220931
13	Waveform 1	1	40.079536229	40.459251971	1434.5	1788.9		0.380		3	d	3	ML302220931
13	Spectrogram 1	1	40.079536229	40.459251971	1434.5	1788.9	1550.4	0.380	84.4	3	d	3	ML302220931
14	Waveform 1	1	40.681969859	41.131056746	1257.3	1552.6		0.449		3	d	3	ML302220931
14	Spectrogram 1	1	40.681969859	41.131056746	1257.3	1552.6	1378.1	0.449	81.4	3	d	3	ML302220931
15	Waveform 1	1	41.299007940	41.631259214	1316.4	1729.8		0.332		3	d	3	ML302220931
15	Spectrogram 1	1	41.299007940	41.631259214	1316.4	1729.8	1550.4	0.332	86.4	3	d	3	ML302220931
16	Waveform 1	1	40.079536229	41.634910327	1257.3	1788.9		1.555		3	t	3	ML302220931
16	Spectrogram 1	1	40.079536229	41.634910327	1257.3	1788.9	1550.4	1.555	86.4	3	t	3	ML302220931
17	Waveform 1	1	40.459251971	40.681969859	1257.3	1788.9		0.223		NA	cad	3	ML302220931
17	Spectrogram 1	1	40.459251971	40.681969859	1257.3	1788.9	1378.1	0.223	69.8	NA	cad	3	ML302220931
18	Waveform 1	1	41.131056746	41.299007940	1257.3	1788.9		0.168		NA	cad	3	ML302220931
18	Spectrogram 1	1	41.131056746	41.299007940	1257.3	1788.9	1378.1	0.168	64.9	NA	cad	3	ML302220931
