Selection	View	Channel	Begin Time (s)	End Time (s)	Low Freq (Hz)	High Freq (Hz)	Peak Freq (Hz)	Delta Time (s)	Max Power (dB)	total elementos	tipo de nota	canto	nombre archivo
1	Waveform 1	1	5.221007688	5.655867093	1434.4	1839.8		0.435		3	d	1	ML83789761
1	Spectrogram 1	1	5.221007688	5.655867093	1434.4	1839.8	1636.5	0.435	121.7	3	d	1	ML83789761
2	Waveform 1	1	5.812701632	6.268947564	1365.8	1683.9		0.456		3	d	1	ML83789761
2	Spectrogram 1	1	5.812701632	6.268947564	1365.8	1683.9	1464.3	0.456	121.3	3	d	1	ML83789761
3	Waveform 1	1	6.404395576	6.767966553	1427.2	1841.5		0.364		3	d	1	ML83789761
3	Spectrogram 1	1	6.404395576	6.767966553	1427.2	1841.5	1636.5	0.364	126.5	3	d	1	ML83789761
4	Waveform 1	1	5.213878846	6.767966553	1411.8	1826.2		1.554		3	t	1	ML83789761
4	Spectrogram 1	1	5.213878846	6.767966553	1411.8	1826.2	1636.5	1.554	126.5	3	t	1	ML83789761
5	Waveform 1	1	5.655867093	5.812701632	1396.5	1826.2		0.157		NA	cad	1	ML83789761
5	Spectrogram 1	1	5.655867093	5.812701632	1396.5	1826.2	1550.4	0.157	104.9	NA	cad	1	ML83789761
6	Waveform 1	1	6.276076407	6.397266733	1411.8	1841.5		0.121		NA	cad	1	ML83789761
6	Spectrogram 1	1	6.276076407	6.397266733	1411.8	1841.5	1464.3	0.121	102.1	NA	cad	1	ML83789761
7	Waveform 1	1	49.177022477	49.611881881	1363.1	1817.4		0.435		3	d	2	ML83789761
7	Spectrogram 1	1	49.177022477	49.611881881	1363.1	1817.4	1636.5	0.435	120.0	3	d	2	ML83789761
8	Waveform 1	1	49.754458735	50.253477724	1171.8	1626.1		0.499		3	d	2	ML83789761
8	Spectrogram 1	1	49.754458735	50.253477724	1171.8	1626.1	1464.3	0.499	123.8	3	d	2	ML83789761
9	Waveform 1	1	50.346152679	50.781012083	1363.1	1841.4		0.435		3	d	2	ML83789761
9	Spectrogram 1	1	50.346152679	50.781012083	1363.1	1841.4	1636.5	0.435	125.8	3	d	2	ML83789761
10	Waveform 1	1	49.177022477	50.788140926	1131.2	1776.8		1.611		3	t	2	ML83789761
10	Spectrogram 1	1	49.177022477	50.788140926	1131.2	1776.8	1636.5	1.611	125.8	3	t	2	ML83789761
11	Waveform 1	1	49.626139566	49.718814521	1131.2	1776.8		0.093		NA	cad	2	ML83789761
11	Spectrogram 1	1	49.626139566	49.718814521	1131.2	1776.8	1636.5	0.093	99.3	NA	cad	2	ML83789761
12	Waveform 1	1	50.246348881	50.346152679	1183.0	1822.9		0.100		NA	cad	2	ML83789761
12	Spectrogram 1	1	50.246348881	50.346152679	1183.0	1822.9	1464.3	0.100	101.9	NA	cad	2	ML83789761
13	Waveform 1	1	84.081140243	84.494613119	1382.7	1843.6		0.413		3	d	3	ML83789761
13	Spectrogram 1	1	84.081140243	84.494613119	1382.7	1843.6	1636.5	0.413	125.5	3	d	3	ML83789761
14	Waveform 1	1	84.670949577	85.141453195	1224.7	1685.6		0.471		3	d	3	ML83789761
14	Spectrogram 1	1	84.670949577	85.141453195	1224.7	1685.6	1464.3	0.471	126.2	3	d	3	ML83789761
15	Waveform 1	1	85.266207942	85.647601026	1395.9	1856.8		0.381		3	d	3	ML83789761
15	Spectrogram 1	1	85.266207942	85.647601026	1395.9	1856.8	1636.5	0.381	125.9	3	d	3	ML83789761
16	Waveform 1	1	84.079255634	85.651165448	1211.5	1843.6		1.572		3	t	3	ML83789761
16	Spectrogram 1	1	84.079255634	85.651165448	1211.5	1843.6	1464.3	1.572	126.2	3	t	3	ML83789761
17	Waveform 1	1	84.499857352	84.667385156	1211.5	1843.6		0.168		3	cad	3	ML83789761
17	Spectrogram 1	1	84.499857352	84.667385156	1211.5	1843.6	1636.5	0.168	104.2	3	cad	3	ML83789761
18	Waveform 1	1	85.148582038	85.266207942	1224.7	1843.6		0.118		3	cad	3	ML83789761
18	Spectrogram 1	1	85.148582038	85.266207942	1224.7	1843.6	1464.3	0.118	101.3	3	cad	3	ML83789761
