Selection	View	Channel	Begin Time (s)	End Time (s)	Low Freq (Hz)	High Freq (Hz)	Peak Freq (Hz)	Delta Time (s)	Max Power (dB)	total elementos	tipo de nota	canto	nombre archivo
1	Waveform 1	1	1.708396853	1.993129662	1494.9	1868.6		0.285		3	d	1	ML155228091
1	Spectrogram 1	1	1.708396853	1.993129662	1494.9	1868.6	1722.7	0.285	103.1	3	d	1	ML155228091
2	Waveform 1	1	2.168349852	2.628302851	1370.3	1619.5		0.460		3	d	1	ML155228091
2	Spectrogram 1	1	2.168349852	2.628302851	1370.3	1619.5	1550.4	0.460	106.3	3	d	1	ML155228091
3	Waveform 1	1	2.680868908	3.088255850	1494.9	1993.2		0.407		3	d	1	ML155228091
3	Spectrogram 1	1	2.680868908	3.088255850	1494.9	1993.2	1722.7	0.407	109.6	3	d	1	ML155228091
4	Waveform 1	1	1.714237591	3.091906336	1342.2	1917.4		1.378		3	t	1	ML155228091
4	Spectrogram 1	1	1.714237591	3.091906336	1342.2	1917.4	1722.7	1.378	109.6	3	t	1	ML155228091
5	Waveform 1	1	1.994589895	2.169810086	1342.2	1981.3		0.175		NA	cad	1	ML155228091
5	Spectrogram 1	1	1.994589895	2.169810086	1342.2	1981.3	1636.5	0.175	95.3	NA	cad	1	ML155228091
6	Waveform 1	1	2.631953337	2.682329142	1040.1	1615.3		0.050		NA	cad	1	ML155228091
6	Spectrogram 1	1	2.631953337	2.682329142	1040.1	1615.3	1550.4	0.050	87.7	NA	cad	1	ML155228091
7	Waveform 1	1	49.902901008	50.345331988	1534.9	1858.1		0.442					
7	Spectrogram 1	1	49.902901008	50.345331988	1534.9	1858.1	1722.7	0.442	96.0				
8	Waveform 1	1	27.627075536	27.922759607	1534.9	1858.1		0.296					
8	Spectrogram 1	1	27.627075536	27.922759607	1534.9	1858.1	1722.7	0.296	99.7				
9	Waveform 1	1	39.824168360	40.200891769	1575.3	1736.9		0.377					
9	Spectrogram 1	1	39.824168360	40.200891769	1575.3	1736.9	1722.7	0.377	99.2				
