Selection	View	Channel	Begin Time (s)	End Time (s)	Low Freq (Hz)	High Freq (Hz)	Peak Freq (Hz)	Delta Time (s)	Max Power (dB)	total elementos	tipo de nota	canto	nombre archivo
1	Waveform 1	1	4.054939352	4.157837316	1031.1	1824.3		0.103		4	a	1	ML391643051
1	Spectrogram 1	1	4.054939352	4.157837316	1031.1	1824.3	1636.5	0.103	94.6	4	a	1	ML391643051
2	Waveform 1	1	4.333369136	4.726802526	1070.8	1903.6		0.393		4	d	1	ML391643051
2	Spectrogram 1	1	4.333369136	4.726802526	1070.8	1903.6	1722.7	0.393	120.1	4	d	1	ML391643051
3	Waveform 1	1	4.902334346	5.362348771	753.5	1705.3		0.460		4	d	1	ML391643051
3	Spectrogram 1	1	4.902334346	5.362348771	753.5	1705.3	1550.4	0.460	124.4	4	d	1	ML391643051
4	Waveform 1	1	5.441035449	5.810257554	832.8	1745.0		0.369		4	d	1	ML391643051
4	Spectrogram 1	1	5.441035449	5.810257554	832.8	1745.0	1636.5	0.369	126.8	4	d	1	ML391643051
5	Waveform 1	1	4.048886531	5.816310375	753.5	1943.3		1.767		4	t	1	ML391643051
5	Spectrogram 1	1	4.048886531	5.816310375	753.5	1943.3	1636.5	1.767	126.8	4	t	1	ML391643051
6	Waveform 1	1	4.163890137	4.327316315	753.5	1943.3		0.163		NA	cad	1	ML391643051
6	Spectrogram 1	1	4.163890137	4.327316315	753.5	1943.3	947.5	0.163	78.6	NA	cad	1	ML391643051
7	Waveform 1	1	4.726802526	4.902334346	753.5	1943.3		0.176		NA	cad	1	ML391643051
7	Spectrogram 1	1	4.726802526	4.902334346	753.5	1943.3	1636.5	0.176	94.2	NA	cad	1	ML391643051
8	Waveform 1	1	5.368401593	5.434982628	753.5	1943.3		0.067		NA	cad	1	ML391643051
8	Spectrogram 1	1	5.368401593	5.434982628	753.5	1943.3	1636.5	0.067	95.4	NA	cad	1	ML391643051
9	Waveform 1	1	19.942236095	20.033028415	936.1	1872.2		0.091		4	a	2	ML391643051
9	Spectrogram 1	1	19.942236095	20.033028415	936.1	1872.2	1550.4	0.091	95.5	4	a	2	ML391643051
10	Waveform 1	1	20.214613057	20.650416197	1300.1	1924.2		0.436		4	d	2	ML391643051
10	Spectrogram 1	1	20.214613057	20.650416197	1300.1	1924.2	1722.7	0.436	115.1	4	d	2	ML391643051
11	Waveform 1	1	20.777525446	21.201222943	988.1	2028.2		0.424		4	d	2	ML391643051
11	Spectrogram 1	1	20.777525446	21.201222943	988.1	2028.2	1550.4	0.424	126.4	4	d	2	ML391643051
12	Waveform 1	1	21.316226549	21.697554296	780.1	1664.2		0.381		4	d	2	ML391643051
12	Spectrogram 1	1	21.316226549	21.697554296	780.1	1664.2	1636.5	0.381	124.8	4	d	2	ML391643051
13	Waveform 1	1	19.936183273	21.703607118	832.1	1976.2		1.767		4	t	2	ML391643051
13	Spectrogram 1	1	19.936183273	21.703607118	832.1	1976.2	1550.4	1.767	126.4	4	t	2	ML391643051
14	Waveform 1	1	20.039081237	20.208560236	832.1	1976.2		0.169		cad	cad	2	ML391643051
14	Spectrogram 1	1	20.039081237	20.208560236	832.1	1976.2	1636.5	0.169	81.9	cad	cad	2	ML391643051
15	Waveform 1	1	20.656469018	20.771472624	832.1	1976.2		0.115		cad	cad	2	ML391643051
15	Spectrogram 1	1	20.656469018	20.771472624	832.1	1976.2	1636.5	0.115	88.4	cad	cad	2	ML391643051
16	Waveform 1	1	21.201222943	21.310173728	780.1	1924.2		0.109		cad	cad	2	ML391643051
16	Spectrogram 1	1	21.201222943	21.310173728	780.1	1924.2	1464.3	0.109	103.5	cad	cad	2	ML391643051
17	Waveform 1	1	45.758394267	45.879450695	936.1	1924.2		0.121		4	a	3	ML391643051
17	Spectrogram 1	1	45.758394267	45.879450695	936.1	1924.2	1636.5	0.121	97.5	4	a	3	ML391643051
18	Waveform 1	1	46.030771230	46.448415905	1196.1	1872.2		0.418		4	d	3	ML391643051
18	Spectrogram 1	1	46.030771230	46.448415905	1196.1	1872.2	1722.7	0.418	117.9	4	d	3	ML391643051
19	Waveform 1	1	46.611842083	47.041592401	832.1	1768.2		0.430		4	d	3	ML391643051
19	Spectrogram 1	1	46.611842083	47.041592401	832.1	1768.2	1550.4	0.430	124.5	4	d	3	ML391643051
20	Waveform 1	1	47.150543186	47.598451968	780.1	1872.2		0.448		4	d	3	ML391643051
20	Spectrogram 1	1	47.150543186	47.598451968	780.1	1872.2	1636.5	0.448	127.4	4	d	3	ML391643051
21	Waveform 1	1	45.758394267	47.598451968	728.1	1924.2		1.840		4	t	3	ML391643051
21	Spectrogram 1	1	45.758394267	47.598451968	728.1	1924.2	1636.5	1.840	127.4	4	t	3	ML391643051
22	Waveform 1	1	45.891556338	46.018665587	728.1	1924.2		0.127		NA	cad	3	ML391643051
22	Spectrogram 1	1	45.891556338	46.018665587	728.1	1924.2	1636.5	0.127	82.1	NA	cad	3	ML391643051
23	Waveform 1	1	46.454468727	46.605789261	728.1	1924.2		0.151		NA	cad	3	ML391643051
23	Spectrogram 1	1	46.454468727	46.605789261	728.1	1924.2	1722.7	0.151	97.8	NA	cad	3	ML391643051
24	Waveform 1	1	47.053698044	47.150543186	780.1	1924.2		0.097		NA	cad	3	ML391643051
24	Spectrogram 1	1	47.053698044	47.150543186	780.1	1924.2	1464.3	0.097	108.2	NA	cad	3	ML391643051
