Selection	View	Channel	Begin Time (s)	End Time (s)	Low Freq (Hz)	High Freq (Hz)	Peak Freq (Hz)	Delta Time (s)	Max Power (dB)	total elementos	tipo de nota	canto	nombre archivo
1	Waveform 1	1	2.811968027	2.920767060	1316.1	2012.9		0.109		4	a	1	ML472610061
1	Spectrogram 1	1	2.811968027	2.920767060	1316.1	2012.9	1781.2	0.109	102.9	4	a	1	ML472610061
2	Waveform 1	1	3.155103441	3.481500542	1471.0	1858.1		0.326		4	d	1	ML472610061
2	Spectrogram 1	1	3.155103441	3.481500542	1471.0	1858.1	1687.5	0.326	120.9	4	d	1	ML472610061
3	Waveform 1	1	3.686544875	4.046418602	851.6	1625.8		0.360		4	d	1	ML472610061
3	Spectrogram 1	1	3.686544875	4.046418602	851.6	1625.8	1500.0	0.360	121.1	4	d	1	ML472610061
4	Waveform 1	1	4.184509684	4.481614737	696.8	1858.1		0.297		4	d	1	ML472610061
4	Spectrogram 1	1	4.184509684	4.481614737	696.8	1858.1	1593.8	0.297	125.0	4	d	1	ML472610061
5	Waveform 1	1	2.803598870	4.485799316	658.1	1974.2		1.682		4	t	1	ML472610061
5	Spectrogram 1	1	2.803598870	4.485799316	658.1	1974.2	1593.8	1.682	125.0	4	t	1	ML472610061
6	Waveform 1	1	2.924951639	3.150918863	696.8	2012.9		0.226		NA	cad	1	ML472610061
6	Spectrogram 1	1	2.924951639	3.150918863	696.8	2012.9	1125.0	0.226	97.3	NA	cad	1	ML472610061
7	Waveform 1	1	3.489869699	3.690729453	696.8	1974.2		0.201		NA	cad	1	ML472610061
7	Spectrogram 1	1	3.489869699	3.690729453	696.8	1974.2	1500.0	0.201	109.4	NA	cad	1	ML472610061
8	Waveform 1	1	4.038049446	4.184509684	696.8	2012.9		0.146		NA	cad	1	ML472610061
8	Spectrogram 1	1	4.038049446	4.184509684	696.8	2012.9	1500.0	0.146	102.0	NA	cad	1	ML472610061
9	Waveform 1	1	20.305082767	20.648218181	1471.0	1896.8		0.343		3	d	2	ML472610061
9	Spectrogram 1	1	20.305082767	20.648218181	1471.0	1896.8	1687.5	0.343	122.4	3	d	2	ML472610061
10	Waveform 1	1	20.849077936	21.221505397	851.6	1664.5		0.372		3	d	2	ML472610061
10	Spectrogram 1	1	20.849077936	21.221505397	851.6	1664.5	1500.0	0.372	122.5	3	d	2	ML472610061
11	Waveform 1	1	21.347042744	21.656701533	851.6	1780.6		0.310		3	d	2	ML472610061
11	Spectrogram 1	1	21.347042744	21.656701533	851.6	1780.6	1687.5	0.310	125.6	3	d	2	ML472610061
12	Waveform 1	1	20.309267345	21.656701533	812.9	1896.8		1.347		3	t	2	ML472610061
12	Spectrogram 1	1	20.309267345	21.656701533	812.9	1896.8	1687.5	1.347	125.6	3	t	2	ML472610061
13	Waveform 1	1	20.648218181	20.844893357	812.9	1896.8		0.197		NA	cad	2	ML472610061
13	Spectrogram 1	1	20.648218181	20.844893357	812.9	1896.8	1500.0	0.197	98.2	NA	cad	2	ML472610061
14	Waveform 1	1	21.229874554	21.342858166	774.2	1858.1		0.113		NA	cad	2	ML472610061
14	Spectrogram 1	1	21.229874554	21.342858166	774.2	1858.1	1500.0	0.113	100.5	NA	cad	2	ML472610061
16	Waveform 1	1	65.681620294	66.028940286	1393.5	1896.8		0.347		3	d	3	ML472610061
16	Spectrogram 1	1	65.681620294	66.028940286	1393.5	1896.8	1687.5	0.347	120.6	3	d	3	ML472610061
17	Waveform 1	1	66.221430885	66.593858346	812.9	1741.9		0.372		3	d	3	ML472610061
17	Spectrogram 1	1	66.221430885	66.593858346	812.9	1741.9	1500.0	0.372	121.9	3	d	3	ML472610061
18	Waveform 1	1	66.744503162	67.024869903	812.9	1858.1		0.280		3	d	3	ML472610061
18	Spectrogram 1	1	66.744503162	67.024869903	812.9	1858.1	1687.5	0.280	126.6	3	d	3	ML472610061
19	Waveform 1	1	65.689989450	67.029054482	812.9	1858.1		1.339		3	t	3	ML472610061
19	Spectrogram 1	1	65.689989450	67.029054482	812.9	1858.1	1687.5	1.339	126.6	3	t	3	ML472610061
20	Waveform 1	1	66.033124865	66.217246306	812.9	1858.1		0.184		NA	cad	3	ML472610061
20	Spectrogram 1	1	66.033124865	66.217246306	812.9	1858.1	1687.5	0.184	103.6	NA	cad	3	ML472610061
21	Waveform 1	1	66.598042925	66.748687741	812.9	1858.1		0.151		NA	cad	3	ML472610061
21	Spectrogram 1	1	66.598042925	66.748687741	812.9	1858.1	1593.8	0.151	104.9	NA	cad	3	ML472610061
