Selection	View	Channel	Begin Time (s)	End Time (s)	Low Freq (Hz)	High Freq (Hz)	Delta Time (s)	Peak Freq (Hz)	Peak Power Density (dB FS/Hz)	total elementos	tipo de nota	canto	nombre archivo
1	Waveform 1	1	1.638418438	2.056888948	1414.4	1922.1	0.4185			3	d	1	XC299429
1	Spectrogram 1	1	1.638418438	2.056888948	1414.4	1922.1	0.4185	1636.523	-25.65	3	d	1	XC299429
2	Waveform 1	1	2.198743358	2.666862911	1196.8	1668.3	0.4681			3	d	1	XC299429
2	Spectrogram 1	1	2.198743358	2.666862911	1196.8	1668.3	0.4681	1464.258	-21.82	3	d	1	XC299429
3	Waveform 1	1	2.815810042	3.191724229	1305.6	1704.5	0.3759			3	d	1	XC299429
3	Spectrogram 1	1	2.815810042	3.191724229	1305.6	1704.5	0.3759	1550.391	-19.64	3	d	1	XC299429
4	Waveform 1	1	1.638418438	3.170446068	1196.8	1958.4	1.5320			3	t	1	XC299429
4	Spectrogram 1	1	1.638418438	3.170446068	1196.8	1958.4	1.5320	1550.391	-19.64	3	t	1	XC299429
5	Waveform 1	1	2.071074389	2.191650637	1160.5	1958.4	0.1206			NA	cad	1	XC299429
5	Spectrogram 1	1	2.071074389	2.191650637	1160.5	1958.4	0.1206	1636.523	-46.95	NA	cad	1	XC299429
7	Waveform 1	1	2.666862911	2.801624601	1196.8	1994.7	0.1348			NA	cad	1	XC299429
7	Spectrogram 1	1	2.666862911	2.801624601	1196.8	1994.7	0.1348	1378.125	-37.10	NA	cad	1	XC299429
8	Waveform 1	1	7.327692285	7.526288459	1595.7	1885.9	0.1986			3	d	2	XC299429
8	Spectrogram 1	1	7.327692285	7.526288459	1595.7	1885.9	0.1986	1722.656	-43.69	3	d	2	XC299429
9	Waveform 1	1	7.668142869	8.065335218	1305.6	1704.5	0.3972			3	d	2	XC299429
9	Spectrogram 1	1	7.668142869	8.065335218	1305.6	1704.5	0.3972	1464.258	-38.75	3	d	2	XC299429
10	Waveform 1	1	8.129169702	8.533454771	1414.4	1885.9	0.4043			3	d	2	XC299429
10	Spectrogram 1	1	8.129169702	8.533454771	1414.4	1885.9	0.4043	1636.523	-37.68	3	d	2	XC299429
11	Waveform 1	1	7.334785005	8.533454771	1305.6	1849.6	1.1987			3	t	2	XC299429
11	Spectrogram 1	1	7.334785005	8.533454771	1305.6	1849.6	1.1987	1636.523	-37.68	3	t	2	XC299429
12	Waveform 1	1	7.547566621	7.661050149	1305.6	1849.6	0.1135			NA	cad	2	XC299429
12	Spectrogram 1	1	7.547566621	7.661050149	1305.6	1849.6	0.1135	1636.523	-46.53	NA	cad	2	XC299429
13	Waveform 1	1	8.051149777	8.122076982	1269.3	1885.9	0.0709			NA	cad	2	XC299429
13	Spectrogram 1	1	8.051149777	8.122076982	1269.3	1885.9	0.0709	1550.391	-46.56	NA	cad	2	XC299429
14	Waveform 1	1	12.631487852	13.099607405	1378.1	1922.1	0.4681			3	d	3	XC299429
14	Spectrogram 1	1	12.631487852	13.099607405	1378.1	1922.1	0.4681	1636.523	-28.66	3	d	3	XC299429
15	Waveform 1	1	13.213090933	13.652839605	1160.5	1632.0	0.4397			3	d	3	XC299429
15	Spectrogram 1	1	13.213090933	13.652839605	1160.5	1632.0	0.4397	1464.258	-22.82	3	d	3	XC299429
16	Waveform 1	1	13.780508574	14.128051879	1233.1	1777.1	0.3475			3	d	3	XC299429
16	Spectrogram 1	1	13.780508574	14.128051879	1233.1	1777.1	0.3475	1550.391	-21.16	3	d	3	XC299429
17	Waveform 1	1	12.631487852	14.120959158	1124.3	1958.4	1.4895			3	t	3	XC299429
17	Spectrogram 1	1	12.631487852	14.120959158	1124.3	1958.4	1.4895	1550.391	-21.16	3	t	3	XC299429
18	Waveform 1	1	13.078329244	13.213090933	1124.3	1958.4	0.1348			NA	cad	3	XC299429
18	Spectrogram 1	1	13.078329244	13.213090933	1124.3	1958.4	0.1348	1464.258	-33.40	NA	cad	3	XC299429
19	Waveform 1	1	13.645746884	13.787601295	1088.0	1994.7	0.1419			NA	cad	3	XC299429
19	Spectrogram 1	1	13.645746884	13.787601295	1088.0	1994.7	0.1419	1378.125	-29.55	NA	cad	3	XC299429
