Selection	View	Channel	Begin Time (s)	End Time (s)	Low Freq (Hz)	High Freq (Hz)	Peak Freq (Hz)	Delta Time (s)	Max Power (dB)	total elementos	tipo de nota	canto	nombre archivo
1	Waveform 1	1	2.204522071	2.289311382	1513.8	1844.0		0.085		3	d	1	ML612537754
1	Spectrogram 1	1	2.204522071	2.289311382	1513.8	1844.0	1687.5	0.085	109.9	3	d	1	ML612537754
2	Waveform 1	1	2.520126727	2.934652244	1293.6	1733.9		0.415		3	d	1	ML612537754
2	Spectrogram 1	1	2.520126727	2.934652244	1293.6	1733.9	1500.0	0.415	119.6	3	d	1	ML612537754
3	Waveform 1	1	3.071257245	3.523466900	1266.1	1871.6		0.452		3	d	1	ML612537754
3	Spectrogram 1	1	3.071257245	3.523466900	1266.1	1871.6	1687.5	0.452	121.8	3	d	1	ML612537754
4	Waveform 1	1	2.209232588	3.523466900	1266.1	1871.6		1.314		3	t	1	ML612537754
4	Spectrogram 1	1	2.209232588	3.523466900	1266.1	1871.6	1687.5	1.314	121.8	3	t	1	ML612537754
5	Waveform 1	1	2.295945045	2.507918321	1266.1	1871.6		0.212		NA	cad	1	ML612537754
5	Spectrogram 1	1	2.295945045	2.507918321	1266.1	1871.6	1687.5	0.212	101.8	NA	cad	1	ML612537754
6	Waveform 1	1	2.931864873	3.073180391	1266.1	1871.6		0.141		NA	cad	1	ML612537754
6	Spectrogram 1	1	2.931864873	3.073180391	1266.1	1871.6	1500.0	0.141	111.0	NA	cad	1	ML612537754
9	Waveform 1	1	13.918698694	14.130671970	1513.8	1816.5		0.212		3	d	2	ML612537754
9	Spectrogram 1	1	13.918698694	14.130671970	1513.8	1816.5	1687.5	0.212	116.8	3	d	2	ML612537754
10	Waveform 1	1	14.300250591	14.733618178	1238.5	1761.5		0.433		3	d	2	ML612537754
10	Spectrogram 1	1	14.300250591	14.733618178	1238.5	1761.5	1593.8	0.433	122.7	3	d	2	ML612537754
11	Waveform 1	1	14.851381109	15.393090592	1266.1	1816.5		0.542		3	d	2	ML612537754
11	Spectrogram 1	1	14.851381109	15.393090592	1266.1	1816.5	1687.5	0.542	127.1	3	d	2	ML612537754
12	Waveform 1	1	13.918698694	15.407222144	1238.5	1816.5		1.489		3	t	2	ML612537754
12	Spectrogram 1	1	13.918698694	15.407222144	1238.5	1816.5	1687.5	1.489	127.1	3	t	2	ML612537754
13	Waveform 1	1	14.130671970	14.295540074	1238.5	1816.5		0.165		NA	cad	2	ML612537754
13	Spectrogram 1	1	14.130671970	14.295540074	1238.5	1816.5	1687.5	0.165	100.3	NA	cad	2	ML612537754
14	Waveform 1	1	14.733618178	14.851381109	1238.5	1816.5		0.118		NA	cad	2	ML612537754
14	Spectrogram 1	1	14.733618178	14.851381109	1238.5	1816.5	1500.0	0.118	109.5	NA	cad	2	ML612537754
15	Waveform 1	1	26.808581920	27.001713127	1458.7	1816.5		0.193		3	d	3	ML612537754
15	Spectrogram 1	1	26.808581920	27.001713127	1458.7	1816.5	1687.5	0.193	120.1	3	d	3	ML612537754
16	Waveform 1	1	27.227817955	27.647053990	1293.6	1733.9		0.419		3	d	3	ML612537754
16	Spectrogram 1	1	27.227817955	27.647053990	1293.6	1733.9	1500.0	0.419	124.8	3	d	3	ML612537754
17	Waveform 1	1	27.783658990	28.348921060	1403.7	1816.5		0.565		3	d	3	ML612537754
17	Spectrogram 1	1	27.783658990	28.348921060	1403.7	1816.5	1687.5	0.565	127.5	3	d	3	ML612537754
18	Waveform 1	1	26.808581920	28.348921060	1348.6	1844.0		1.540		3	t	3	ML612537754
18	Spectrogram 1	1	26.808581920	28.348921060	1348.6	1844.0	1687.5	1.540	127.5	3	t	3	ML612537754
19	Waveform 1	1	27.001713127	27.223107438	1348.6	1844.0		0.221		NA	cad	3	ML612537754
19	Spectrogram 1	1	27.001713127	27.223107438	1348.6	1844.0	1687.5	0.221	107.9	NA	cad	3	ML612537754
20	Waveform 1	1	27.656475025	27.778948473	1348.6	1844.0		0.122		NA	cad	3	ML612537754
20	Spectrogram 1	1	27.656475025	27.778948473	1348.6	1844.0	1500.0	0.122	110.6	NA	cad	3	ML612537754
