Selection	View	Channel	Begin Time (s)	End Time (s)	Low Freq (Hz)	High Freq (Hz)	Peak Freq (Hz)	Delta Time (s)	Max Power (dB)	total elementos	tipo de nota	canto	nombre archivo
1	Waveform 1	1	18.523233731	18.977870125	1528.9	1911.1		0.455		3	d	1	ML614013052
1	Spectrogram 1	1	18.523233731	18.977870125	1528.9	1911.1	1781.2	0.455	95.4	3	d	1	ML614013052
2	Waveform 1	1	19.075791810	19.502450580	1299.5	1834.7		0.427		3	d	1	ML614013052
2	Spectrogram 1	1	19.075791810	19.502450580	1299.5	1834.7	1593.8	0.427	99.1	3	d	1	ML614013052
3	Waveform 1	1	19.558405829	19.950092568	1376.0	1911.1		0.392		3	d	1	ML614013052
3	Spectrogram 1	1	19.558405829	19.950092568	1376.0	1911.1	1687.5	0.392	102.3	3	d	1	ML614013052
4	Waveform 1	1	18.530228137	19.957086974	1299.5	1911.1		1.427		3	t	1	ML614013052
4	Spectrogram 1	1	18.530228137	19.957086974	1299.5	1911.1	1687.5	1.427	102.3	3	t	1	ML614013052
5	Waveform 1	1	18.984864531	19.075791810	1261.3	1949.3		0.091		NA	cad	1	ML614013052
5	Spectrogram 1	1	18.984864531	19.075791810	1261.3	1949.3	1781.2	0.091	76.3	NA	cad	1	ML614013052
6	Waveform 1	1	19.516439392	19.572394641	1299.5	1911.1		0.056		NA	cad	1	ML614013052
6	Spectrogram 1	1	19.516439392	19.572394641	1299.5	1911.1	1593.8	0.056	74.4	NA	cad	1	ML614013052
7	Waveform 1	1	28.603913382	28.981611310	1567.1	1949.3		0.378		3	d	2	ML614013052
7	Spectrogram 1	1	28.603913382	28.981611310	1567.1	1949.3	1781.2	0.378	93.8	3	d	2	ML614013052
8	Waveform 1	1	29.023577746	29.492202952	1070.2	1758.2		0.469		3	d	2	ML614013052
8	Spectrogram 1	1	29.023577746	29.492202952	1070.2	1758.2	1593.8	0.469	97.7	3	d	2	ML614013052
9	Waveform 1	1	29.534169389	29.869900880	840.9	1872.9		0.336		3	d	2	ML614013052
9	Spectrogram 1	1	29.534169389	29.869900880	840.9	1872.9	1687.5	0.336	98.0	3	d	2	ML614013052
10	Waveform 1	1	28.596918976	29.869900880	840.9	1949.3		1.273		3	t	2	ML614013052
10	Spectrogram 1	1	28.596918976	29.869900880	840.9	1949.3	1687.5	1.273	98.0	3	t	2	ML614013052
11	Waveform 1	1	28.974616904	29.016583340	840.9	1911.1		0.042		NA	cad	2	ML614013052
11	Spectrogram 1	1	28.974616904	29.016583340	840.9	1911.1	1781.2	0.042	76.5	NA	cad	2	ML614013052
12	Waveform 1	1	29.492202952	29.527174983	764.4	1872.9		0.035		NA	cad	2	ML614013052
12	Spectrogram 1	1	29.492202952	29.527174983	764.4	1872.9	1593.8	0.035	73.7	NA	cad	2	ML614013052
13	Waveform 1	1	38.977334018	39.438964818	1528.9	1987.5		0.462		3	d	3	ML614013052
13	Spectrogram 1	1	38.977334018	39.438964818	1528.9	1987.5	1781.2	0.462	94.0	3	d	3	ML614013052
14	Waveform 1	1	39.508908879	39.879612400	1146.7	1796.4		0.371		3	d	3	ML614013052
14	Spectrogram 1	1	39.508908879	39.879612400	1146.7	1796.4	1593.8	0.371	96.4	3	d	3	ML614013052
15	Waveform 1	1	39.998517303	40.299276764	955.5	1872.9		0.301		3	d	3	ML614013052
15	Spectrogram 1	1	39.998517303	40.299276764	955.5	1872.9	1687.5	0.301	98.3	3	d	3	ML614013052
16	Waveform 1	1	38.977334018	40.299276764	993.8	1987.5		1.322		3	t	3	ML614013052
16	Spectrogram 1	1	38.977334018	40.299276764	993.8	1987.5	1687.5	1.322	98.3	3	t	3	ML614013052
17	Waveform 1	1	39.445959224	39.501914473	1032.0	1949.3		0.056		NA	cad	3	ML614013052
17	Spectrogram 1	1	39.445959224	39.501914473	1032.0	1949.3	1781.2	0.056	74.6	NA	cad	3	ML614013052
18	Waveform 1	1	39.879612400	39.991522897	993.8	1987.5		0.112		NA	cad	3	ML614013052
18	Spectrogram 1	1	39.879612400	39.991522897	993.8	1987.5	1593.8	0.112	75.9	NA	cad	3	ML614013052
