Selection	View	Channel	Begin Time (s)	End Time (s)	Low Freq (Hz)	High Freq (Hz)	Peak Freq (Hz)	Delta Time (s)	Max Power (dB)	total elementos	tipo de nota	canto	nombre archivo
1	Waveform 1	1	1.375953681	1.464053114	1285.2	1882.9		0.088		4	a	1	ML46892261
1	Spectrogram 1	1	1.375953681	1.464053114	1285.2	1882.9	1687.5	0.088	88.4	4	a	1	ML46892261
2	Waveform 1	1	1.687873295	2.145037920	1507.6	1761.7		0.457		4	d	1	ML46892261
2	Spectrogram 1	1	1.687873295	2.145037920	1507.6	1761.7	1687.5	0.457	115.0	4	d	1	ML46892261
3	Waveform 1	1	2.352190640	2.776020345	1363.6	1714.3		0.424		4	d	1	ML46892261
3	Spectrogram 1	1	2.352190640	2.776020345	1363.6	1714.3	1593.8	0.424	115.4	4	d	1	ML46892261
4	Waveform 1	1	2.952219210	3.283187350	1330.0	1823.2		0.331		4	d	1	ML46892261
4	Spectrogram 1	1	2.952219210	3.283187350	1330.0	1823.2	1593.8	0.331	119.7	4	d	1	ML46892261
5	Waveform 1	1	1.375953681	3.285568416	1196.5	1806.9		1.910		4	t	1	ML46892261
5	Spectrogram 1	1	1.375953681	3.285568416	1196.5	1806.9	1593.8	1.910	119.7	4	t	1	ML46892261
6	Waveform 1	1	1.464053114	1.687873295	1376.6	1831.2		0.224		4	cad	1	ML46892261
6	Spectrogram 1	1	1.464053114	1.687873295	1376.6	1831.2	1500.0	0.224	75.9	4	cad	1	ML46892261
7	Waveform 1	1	2.145037920	2.352190640	1311.7	1753.2		0.207		4	cad	1	ML46892261
7	Spectrogram 1	1	2.145037920	2.352190640	1311.7	1753.2	1593.8	0.207	97.7	4	cad	1	ML46892261
8	Waveform 1	1	2.780782476	2.949838145	1259.7	1701.3		0.169		4	cad	1	ML46892261
8	Spectrogram 1	1	2.780782476	2.949838145	1259.7	1701.3	1406.2	0.169	94.3	4	cad	1	ML46892261
9	Waveform 1	1	24.002964997	24.083921233	1233.2	1802.4		0.081		4	a	2	ML46892261
9	Spectrogram 1	1	24.002964997	24.083921233	1233.2	1802.4	1593.8	0.081	94.0	4	a	2	ML46892261
10	Waveform 1	1	24.302979282	24.738714315	1359.7	1834.0		0.436		4	d	2	ML46892261
10	Spectrogram 1	1	24.302979282	24.738714315	1359.7	1834.0	1593.8	0.436	118.6	4	d	2	ML46892261
11	Waveform 1	1	24.938723838	25.372077806	1233.2	1802.4		0.433		4	d	2	ML46892261
11	Spectrogram 1	1	24.938723838	25.372077806	1233.2	1802.4	1593.8	0.433	119.5	4	d	2	ML46892261
12	Waveform 1	1	25.538752409	25.867339483	1170.9	1740.0		0.329		4	d	2	ML46892261
12	Spectrogram 1	1	25.538752409	25.867339483	1170.9	1740.0	1593.8	0.329	124.6	4	d	2	ML46892261
13	Waveform 1	1	24.002964997	25.867339483	1233.2	1834.0		1.864		4	t	2	ML46892261
13	Spectrogram 1	1	24.002964997	25.867339483	1233.2	1834.0	1593.8	1.864	124.6	4	t	2	ML46892261
14	Waveform 1	1	24.083921233	24.302979282	1233.2	1802.4		0.219		NA	cd	2	ML46892261
14	Spectrogram 1	1	24.083921233	24.302979282	1233.2	1802.4	1593.8	0.219	76.1	NA	cd	2	ML46892261
15	Waveform 1	1	24.741095381	24.936342773	1454.5	1739.1		0.195		NA	cd	2	ML46892261
15	Spectrogram 1	1	24.741095381	24.936342773	1454.5	1739.1	1593.8	0.195	101.7	NA	cd	2	ML46892261
16	Waveform 1	1	25.374458872	25.536371343	1141.0	1678.6		0.162		NA	cd	2	ML46892261
16	Spectrogram 1	1	25.374458872	25.536371343	1141.0	1678.6	1500.0	0.162	97.8	NA	cd	2	ML46892261
17	Waveform 1	1	76.014391228	76.102490660	1259.8	1862.3		0.088		4	a	3	ML46892261
17	Spectrogram 1	1	76.014391228	76.102490660	1259.8	1862.3	1687.5	0.088	93.6	4	a	3	ML46892261
18	Waveform 1	1	76.321548710	76.766808006	1378.5	1807.5		0.445		4	d	3	ML46892261
18	Spectrogram 1	1	76.321548710	76.766808006	1378.5	1807.5	1593.8	0.445	117.2	4	d	3	ML46892261
19	Waveform 1	1	76.964436464	77.397790431	1351.1	1716.2		0.433		4	d	3	ML46892261
19	Spectrogram 1	1	76.964436464	77.397790431	1351.1	1716.2	1593.8	0.433	118.9	4	d	3	ML46892261
20	Waveform 1	1	77.557321836	77.900195305	1296.3	1807.5		0.343		4	d	3	ML46892261
20	Spectrogram 1	1	77.557321836	77.900195305	1296.3	1807.5	1593.8	0.343	123.5	4	d	3	ML46892261
21	Waveform 1	1	76.014391228	77.904957437	1259.8	1862.3		1.891		4	t	3	ML46892261
21	Spectrogram 1	1	76.014391228	77.904957437	1259.8	1862.3	1593.8	1.891	123.5	4	t	3	ML46892261
22	Waveform 1	1	76.102490660	76.321548710	1278.1	1852.7		0.219		NA	NA	3	ML46892261
22	Spectrogram 1	1	76.102490660	76.321548710	1278.1	1852.7	1500.0	0.219	80.4	NA	NA	3	ML46892261
23	Waveform 1	1	76.764426940	76.964436464	1259.8	1862.3		0.200		NA	NA	3	ML46892261
23	Spectrogram 1	1	76.764426940	76.964436464	1259.8	1862.3	1593.8	0.200	101.1	NA	NA	3	ML46892261
24	Waveform 1	1	77.400171497	77.557321836	1259.8	1853.2		0.157		NA	NA	3	ML46892261
24	Spectrogram 1	1	77.400171497	77.557321836	1259.8	1853.2	1500.0	0.157	96.2	NA	NA	3	ML46892261
