Selection	View	Channel	Begin Time (s)	End Time (s)	Low Freq (Hz)	High Freq (Hz)	Peak Freq (Hz)	Delta Time (s)	Max Power (dB)	total elementos	tipo de nota	canto	nombre archivo
17	Waveform 1	1	168.146930458	168.671546286	1435.5	1882.1		0.525		3	d	3	ML590680711
17	Spectrogram 1	1	168.146930458	168.671546286	1435.5	1882.1	1687.5	0.525	107.5	3	d	3	ML590680711
18	Waveform 1	1	168.887882711	169.298921917	1244.1	1563.1		0.411		3	d	3	ML590680711
18	Spectrogram 1	1	168.887882711	169.298921917	1244.1	1563.1	1500.0	0.411	102.6	3	d	3	ML590680711
19	Waveform 1	1	169.434132182	169.785678871	1307.9	1754.5		0.352		3	d	3	ML590680711
19	Spectrogram 1	1	169.434132182	169.785678871	1307.9	1754.5	1593.8	0.352	113.4	3	d	3	ML590680711
20	Waveform 1	1	168.146930458	169.780270461	1244.1	1882.1		1.633		3	t	3	
20	Spectrogram 1	1	168.146930458	169.780270461	1244.1	1882.1	1593.8	1.633	113.4	3	t	3	
1	Waveform 1	1	2.525727753	2.639304376	1212.2	1945.9		0.114		4	a	1	ML590680711
1	Spectrogram 1	1	2.525727753	2.639304376	1212.2	1945.9	1781.2	0.114	90.2	4	a	1	ML590680711
2	Waveform 1	1	2.839415568	3.342397755	1339.8	1786.4		0.503		4	d	1	ML590680711
2	Spectrogram 1	1	2.839415568	3.342397755	1339.8	1786.4	1687.5	0.503	111.1	4	d	1	ML590680711
3	Waveform 1	1	3.542508947	3.964364975	861.3	1626.9		0.422		4	d	1	ML590680711
3	Spectrogram 1	1	3.542508947	3.964364975	861.3	1626.9	1500.0	0.422	108.4	4	d	1	ML590680711
4	Waveform 1	1	4.110392061	4.472755572	893.2	1786.4		0.362		4	d	1	ML590680711
4	Spectrogram 1	1	4.110392061	4.472755572	893.2	1786.4	1593.8	0.362	116.1	4	d	1	ML590680711
5	Waveform 1	1	2.525727753	4.467347161	861.3	1914.0		1.942		4	t	1	ML590680711
5	Spectrogram 1	1	2.525727753	4.467347161	861.3	1914.0	1593.8	1.942	116.1	4	t	1	ML590680711
9	Waveform 1	1	69.805121743	69.913289955	1467.4	2137.3		0.108		4	a	2	ML590680711
9	Spectrogram 1	1	69.805121743	69.913289955	1467.4	2137.3	1875.0	0.108	95.3	4	a	2	ML590680711
10	Waveform 1	1	70.124217969	70.675875851	893.2	1945.9		0.552		4	d	2	ML590680711
10	Spectrogram 1	1	70.124217969	70.675875851	893.2	1945.9	1687.5	0.552	116.9	4	d	2	ML590680711
11	Waveform 1	1	70.843536580	71.265392607	765.6	1722.6		0.422		4	d	2	ML590680711
11	Spectrogram 1	1	70.843536580	71.265392607	765.6	1722.6	1500.0	0.422	111.0	4	d	2	ML590680711
12	Waveform 1	1	71.416828104	71.768374793	893.2	1754.5		0.352		4	d	2	ML590680711
12	Spectrogram 1	1	71.416828104	71.768374793	893.2	1754.5	1593.8	0.352	117.6	4	d	2	ML590680711
13	Waveform 1	1	69.805121743	71.768374793	765.6	2137.3		1.963		4	t	2	ML590680711
13	Spectrogram 1	1	69.805121743	71.768374793	765.6	2137.3	1593.8	1.963	117.6	4	t	2	ML590680711
6	Waveform 1	1	2.633895965	2.839415568	893.2	1977.8		0.206		NA	cad	1	ML590680711
6	Spectrogram 1	1	2.633895965	2.839415568	893.2	1977.8	1593.8	0.206	72.3	NA	cad	1	ML590680711
7	Waveform 1	1	3.353214576	3.542508947	861.3	1945.9		0.189		NA	cad	1	ML590680711
7	Spectrogram 1	1	3.353214576	3.542508947	861.3	1945.9	1593.8	0.189	88.6	NA	cad	1	ML590680711
8	Waveform 1	1	3.964364975	4.115800472	893.2	2009.7		0.151		NA	cad	1	ML590680711
8	Spectrogram 1	1	3.964364975	4.115800472	893.2	2009.7	1500.0	0.151	94.6	NA	cad	1	ML590680711
14	Waveform 1	1	69.913289955	70.129626380	701.8	2105.4		0.216		NA	cad	2	ML590680711
14	Spectrogram 1	1	69.913289955	70.129626380	701.8	2105.4	1687.5	0.216	87.6	NA	cad	2	ML590680711
15	Waveform 1	1	70.681284261	70.843536580	765.6	2169.2		0.162		NA	cad	2	ML590680711
15	Spectrogram 1	1	70.681284261	70.843536580	765.6	2169.2	1687.5	0.162	90.0	NA	cad	2	ML590680711
16	Waveform 1	1	71.265392607	71.416828104	765.6	2137.3		0.151		NA	cad	2	ML590680711
16	Spectrogram 1	1	71.265392607	71.416828104	765.6	2137.3	1500.0	0.151	100.3	NA	cad	2	ML590680711
21	Waveform 1	1	168.676954697	168.879770095	1212.2	1850.2		0.203		NA	cad	3	ML590680711
21	Spectrogram 1	1	168.676954697	168.879770095	1212.2	1850.2	1593.8	0.203	93.3	NA	cad	3	ML590680711
22	Waveform 1	1	169.298921917	169.434132182	1244.1	1882.1		0.135		NA	cad	3	ML590680711
22	Spectrogram 1	1	169.298921917	169.434132182	1244.1	1882.1	1500.0	0.135	82.4	NA	cad	3	ML590680711
23	Waveform 1	1	169.304330327	169.428723771	1244.1	1882.1		0.124		NA	cad	3	ML590680711
23	Spectrogram 1	1	169.304330327	169.428723771	1244.1	1882.1	1500.0	0.124	82.4	NA	cad	3	ML590680711
