Selection	View	Channel	Begin Time (s)	End Time (s)	Low Freq (Hz)	High Freq (Hz)	Delta Time (s)	Peak Freq (Hz)	Peak Power Density (dB FS/Hz)	total elementos	tipo de nota	canto	nombre archivo
1	Waveform 1	1	5.913882475	6.325137958	1518.2	1817.8	0.4113			3	d	1	XC211079
1	Spectrogram 1	1	5.913882475	6.325137958	1518.2	1817.8	0.4113	1722.656	-40.03	3	d	1	XC211079
2	Waveform 1	1	6.505689146	6.826669035	1368.4	1742.9	0.3210			3	d	1	XC211079
2	Spectrogram 1	1	6.505689146	6.826669035	1368.4	1742.9	0.3210	1550.391	-41.86	3	d	1	XC211079
3	Waveform 1	1	6.987158979	7.298108247	1293.5	1892.7	0.3109			3	d	1	XC211079
3	Spectrogram 1	1	6.987158979	7.298108247	1293.5	1892.7	0.3109	1722.656	-35.92	3	d	1	XC211079
4	Waveform 1	1	5.913882475	7.288077626	1308.5	1877.7	1.3742			3	t	1	XC211079
4	Spectrogram 1	1	5.913882475	7.288077626	1308.5	1877.7	1.3742	1722.656	-35.92	3	t	1	XC211079
5	Waveform 1	1	6.325137958	6.475597281	1353.4	1862.7	0.1505			NA	cad	1	XC211079
5	Spectrogram 1	1	6.325137958	6.475597281	1353.4	1862.7	0.1505	1722.656	-57.70	NA	cad	1	XC211079
6	Waveform 1	1	6.816638413	6.987158979	1338.4	1877.7	0.1705			NA	cad	1	XC211079
6	Spectrogram 1	1	6.816638413	6.987158979	1338.4	1877.7	0.1705	1550.391	-53.57	NA	cad	1	XC211079
7	Waveform 1	1	15.132023641	15.513187259	1488.2	1817.8	0.3812			3	d	2	XC211079
7	Spectrogram 1	1	15.132023641	15.513187259	1488.2	1817.8	0.3812	1722.656	-43.22	3	d	2	XC211079
8	Waveform 1	1	15.663646582	15.984626472	1398.3	1757.9	0.3210			3	d	2	XC211079
8	Spectrogram 1	1	15.663646582	15.984626472	1398.3	1757.9	0.3210	1550.391	-40.40	3	d	2	XC211079
9	Waveform 1	1	16.135085795	16.476126927	1338.4	1892.7	0.3410			3	d	2	XC211079
9	Spectrogram 1	1	16.135085795	16.476126927	1338.4	1892.7	0.3410	1722.656	-35.32	3	d	2	XC211079
10	Waveform 1	1	15.132023641	16.446035062	1308.5	1862.7	1.3140			3	t	2	XC211079
10	Spectrogram 1	1	15.132023641	16.446035062	1308.5	1862.7	1.3140	1722.656	-35.32	3	t	2	XC211079
11	Waveform 1	1	15.513187259	15.663646582	1308.5	1862.7	0.1505			NA	cad	2	XC211079
11	Spectrogram 1	1	15.513187259	15.663646582	1308.5	1862.7	0.1505	1636.523	-62.19	NA	cad	2	XC211079
12	Waveform 1	1	15.984626472	16.125055173	1323.4	1907.7	0.1404			NA	cad	2	XC211079
12	Spectrogram 1	1	15.984626472	16.125055173	1323.4	1907.7	0.1404	1550.391	-49.77	NA	cad	2	XC211079
13	Waveform 1	1	23.236765829	23.617929448	1488.2	1862.7	0.3812			3	d	3	XC211079
13	Spectrogram 1	1	23.236765829	23.617929448	1488.2	1862.7	0.3812	1722.656	-35.35	3	d	3	XC211079
14	Waveform 1	1	23.808511257	24.129491146	1368.4	1757.9	0.3210			3	d	3	XC211079
14	Spectrogram 1	1	23.808511257	24.129491146	1368.4	1757.9	0.3210	1550.391	-37.10	3	d	3	XC211079
15	Waveform 1	1	24.310042334	24.600930358	1293.5	1877.7	0.2909			3	d	3	XC211079
15	Spectrogram 1	1	24.310042334	24.600930358	1293.5	1877.7	0.2909	1636.523	-29.64	3	d	3	XC211079
16	Waveform 1	1	23.256827072	24.590899737	1293.5	1847.7	1.3341			3	t	3	XC211079
16	Spectrogram 1	1	23.256827072	24.590899737	1293.5	1847.7	1.3341	1636.523	-29.64	3	t	3	XC211079
17	Waveform 1	1	23.637990691	23.818541878	1323.4	1832.8	0.1806			NA	cad	3	XC211079
17	Spectrogram 1	1	23.637990691	23.818541878	1323.4	1832.8	0.1806	1464.258	-44.72	NA	cad	3	XC211079
18	Waveform 1	1	24.129491146	24.310042334	1323.4	1877.7	0.1806			NA	cad	3	XC211079
18	Spectrogram 1	1	24.129491146	24.310042334	1323.4	1877.7	0.1806	1464.258	-44.11	NA	cad	3	XC211079
