Selection	View	Channel	Begin Time (s)	End Time (s)	Low Freq (Hz)	High Freq (Hz)	Delta Time (s)	Peak Freq (Hz)	Peak Power Density (dB FS/Hz)	total elementos	tipo de nota	canto	nombre archivo
1	Waveform 1	1	4.185490605	4.333504026	1190.2	1879.3	0.1480			4	a	1	XC127873
1	Spectrogram 1	1	4.185490605	4.333504026	1190.2	1879.3	0.1480	1722.656	-30.92	4	a	1	XC127873
2	Waveform 1	1	4.497963383	4.835105064	1357.2	1879.3	0.3371			4	d	1	XC127873
2	Spectrogram 1	1	4.497963383	4.835105064	1357.2	1879.3	0.3371	1722.656	-18.39	4	d	1	XC127873
3	Waveform 1	1	4.983118485	5.394266877	1148.4	1691.3	0.4111			4	d	1	XC127873
3	Spectrogram 1	1	4.983118485	5.394266877	1148.4	1691.3	0.4111	1464.258	-10.49	4	d	1	XC127873
4	Waveform 1	1	5.542280298	6.043881336	1106.7	1816.6	0.5016			4	d	1	XC127873
4	Spectrogram 1	1	5.542280298	6.043881336	1106.7	1816.6	0.5016	1550.391	-5.47	4	d	1	XC127873
5	Waveform 1	1	4.169044670	6.060327271	1085.8	1900.1	1.8913			4	t	1	XC127873
5	Spectrogram 1	1	4.169044670	6.060327271	1085.8	1900.1	1.8913	1550.391	-5.47	4	t	1	XC127873
6	Waveform 1	1	4.341726994	4.497963383	1064.9	1858.4	0.1562			NA	cad	1	XC127873
6	Spectrogram 1	1	4.341726994	4.497963383	1064.9	1858.4	0.1562	1205.859	-42.00	NA	cad	1	XC127873
7	Waveform 1	1	4.818659129	4.974895517	1023.2	1900.1	0.1562			NA	cad	1	XC127873
7	Spectrogram 1	1	4.818659129	4.974895517	1023.2	1900.1	0.1562	1464.258	-30.84	NA	cad	1	XC127873
8	Waveform 1	1	5.386043909	5.542280298	1127.6	1858.4	0.1562			NA	cad	1	XC127873
8	Spectrogram 1	1	5.386043909	5.542280298	1127.6	1858.4	0.1562	1378.125	-17.15	NA	cad	1	XC127873
9	Waveform 1	1	11.794476835	11.901375417	1273.7	1837.5	0.1069			4	a	2	XC127873
9	Spectrogram 1	1	11.794476835	11.901375417	1273.7	1837.5	0.1069	1722.656	-37.43	4	a	2	XC127873
10	Waveform 1	1	12.090503677	12.435868326	1399.0	1900.1	0.3454			4	d	2	XC127873
10	Spectrogram 1	1	12.090503677	12.435868326	1399.0	1900.1	0.3454	1722.656	-22.95	4	d	2	XC127873
11	Waveform 1	1	12.600327683	13.019699042	1127.6	1670.5	0.4194			4	d	2	XC127873
11	Spectrogram 1	1	12.600327683	13.019699042	1127.6	1670.5	0.4194	1464.258	-14.43	4	d	2	XC127873
12	Waveform 1	1	13.126597624	13.595306790	1169.3	1816.6	0.4687			4	d	2	XC127873
12	Spectrogram 1	1	13.126597624	13.595306790	1169.3	1816.6	0.4687	1550.391	-9.99	4	d	2	XC127873
13	Waveform 1	1	11.786253867	13.587083823	1106.7	1921.0	1.8008			4	t	2	XC127873
13	Spectrogram 1	1	11.786253867	13.587083823	1106.7	1921.0	1.8008	1550.391	-9.99	4	t	2	XC127873
14	Waveform 1	1	11.926044320	12.098726645	1127.6	1900.1	0.1727			NA	cad	2	XC127873
14	Spectrogram 1	1	11.926044320	12.098726645	1127.6	1900.1	0.1727	1205.859	-47.50	NA	cad	2	XC127873
15	Waveform 1	1	12.444091294	12.592104715	1106.7	1921.0	0.1480			NA	cad	2	XC127873
15	Spectrogram 1	1	12.444091294	12.592104715	1106.7	1921.0	0.1480	1464.258	-36.64	NA	cad	2	XC127873
16	Waveform 1	1	13.003253106	13.126597624	1085.8	1983.7	0.1233			NA	cad	2	XC127873
16	Spectrogram 1	1	13.003253106	13.126597624	1085.8	1983.7	0.1233	1378.125	-40.74	NA	cad	2	XC127873
17	Waveform 1	1	19.170478968	19.285600517	1294.6	1941.9	0.1151			4	a	3	XC127873
17	Spectrogram 1	1	19.170478968	19.285600517	1294.6	1941.9	0.1151	1722.656	-35.64	4	a	3	XC127873
18	Waveform 1	1	19.482951745	19.811870459	1399.0	1879.3	0.3289			4	d	3	XC127873
18	Spectrogram 1	1	19.482951745	19.811870459	1399.0	1879.3	0.3289	1722.656	-22.57	4	d	3	XC127873
19	Waveform 1	1	19.943437944	20.379255239	1127.6	1691.3	0.4358			4	d	3	XC127873
19	Spectrogram 1	1	19.943437944	20.379255239	1127.6	1691.3	0.4358	1464.258	-14.12	4	d	3	XC127873
20	Waveform 1	1	20.494376789	20.979531891	1190.2	1754.0	0.4852			4	d	3	XC127873
20	Spectrogram 1	1	20.494376789	20.979531891	1190.2	1754.0	0.4852	1550.391	-10.12	4	d	3	XC127873
21	Waveform 1	1	19.178701935	21.012423762	1127.6	1962.8	1.8337			4	t	3	XC127873
21	Spectrogram 1	1	19.178701935	21.012423762	1127.6	1962.8	1.8337	1550.391	-10.12	4	t	3	XC127873
22	Waveform 1	1	19.293823485	19.482951745	1169.3	1962.8	0.1891			NA	cad	3	XC127873
22	Spectrogram 1	1	19.293823485	19.482951745	1169.3	1962.8	0.1891	1550.391	-37.37	NA	cad	3	XC127873
23	Waveform 1	1	19.820093426	19.951660912	1127.6	2004.5	0.1316			NA	cad	3	XC127873
23	Spectrogram 1	1	19.820093426	19.951660912	1127.6	2004.5	0.1316	1464.258	-39.99	NA	cad	3	XC127873
24	Waveform 1	1	20.379255239	20.494376789	1127.6	1983.7	0.1151			NA	cad	3	XC127873
24	Spectrogram 1	1	20.379255239	20.494376789	1127.6	1983.7	0.1151	1550.391	-40.60	NA	cad	3	XC127873
