Selection	View	Channel	Begin Time (s)	End Time (s)	Low Freq (Hz)	High Freq (Hz)	Peak Freq (Hz)	Delta Time (s)	Max Power (dB)	total elementos	tipo de nota	canto	nombre archivo
1	Waveform 1	1	3.782839436	3.933293480	1341.9	2249.6		0.150		3	d	1	ML433262271
1	Spectrogram 1	1	3.782839436	3.933293480	1341.9	2249.6	1687.5	0.150	111.5	3	d	1	ML433262271
2	Waveform 1	1	4.123724871	4.485587871	1026.1	1657.6		0.362		3	d	1	ML433262271
2	Spectrogram 1	1	4.123724871	4.485587871	1026.1	1657.6	1500.0	0.362	118.8	3	d	1	ML433262271
3	Waveform 1	1	4.653408393	4.926116741	1164.3	1973.3		0.273		3	d	1	ML433262271
3	Spectrogram 1	1	4.653408393	4.926116741	1164.3	1973.3	1687.5	0.273	127.4	3	d	1	ML433262271
4	Waveform 1	1	3.782839436	4.931361133	954.8	2178.3		1.149		3	t	1	ML433262271
4	Spectrogram 1	1	3.782839436	4.931361133	954.8	2178.3	1687.5	1.149	127.4	3	t	1	ML433262271
5	Waveform 1	1	3.945415567	4.123724871	1026.1	2249.6		0.178		NA	cad	1	ML433262271
5	Spectrogram 1	1	3.945415567	4.123724871	1026.1	2249.6	1593.8	0.178	94.6	NA	cad	1	ML433262271
6	Waveform 1	1	4.496076654	4.653408393	1026.1	2249.6		0.157		NA	cad	1	ML433262271
6	Spectrogram 1	1	4.496076654	4.653408393	1026.1	2249.6	1406.2	0.157	104.3	NA	cad	1	ML433262271
7	Waveform 1	1	36.765761469	36.923093208	1539.2	1914.1		0.157		3	d	2	ML433262271
7	Spectrogram 1	1	36.765761469	36.923093208	1539.2	1914.1	1781.2	0.157	106.6	3	d	2	ML433262271
8	Waveform 1	1	37.111891295	37.478998687	907.7	1618.1		0.367		3	d	2	ML433262271
8	Spectrogram 1	1	37.111891295	37.478998687	907.7	1618.1	1500.0	0.367	112.9	3	d	2	ML433262271
9	Waveform 1	1	37.631086035	37.982460252	1302.4	1953.6		0.351		3	d	2	ML433262271
9	Spectrogram 1	1	37.631086035	37.982460252	1302.4	1953.6	1687.5	0.351	122.0	3	d	2	ML433262271
10	Waveform 1	1	36.765761469	37.987704644	872.1	1917.9		1.222		3	t	2	ML433262271
10	Spectrogram 1	1	36.765761469	37.987704644	872.1	1917.9	1687.5	1.222	122.0	3	t	2	ML433262271
11	Waveform 1	1	36.928337600	37.111891295	907.7	1953.6		0.184		NA	cad	2	ML433262271
11	Spectrogram 1	1	36.928337600	37.111891295	907.7	1953.6	1781.2	0.184	93.4	NA	cad	2	ML433262271
12	Waveform 1	1	37.494731861	37.631086035	888.0	1953.6		0.136		NA	cad	2	ML433262271
12	Spectrogram 1	1	37.494731861	37.631086035	888.0	1953.6	1500.0	0.136	100.1	NA	cad	2	ML433262271
13	Waveform 1	1	83.978784088	84.256736828	1444.3	1878.5		0.278		3	d	3	ML433262271
13	Spectrogram 1	1	83.978784088	84.256736828	1444.3	1878.5	1781.2	0.278	114.7	3	d	3	ML433262271
14	Waveform 1	1	84.445534915	84.817886697	947.2	1716.8		0.372		3	d	3	ML433262271
14	Spectrogram 1	1	84.445534915	84.817886697	947.2	1716.8	1500.0	0.372	115.0	3	d	3	ML433262271
15	Waveform 1	1	84.980462828	85.258415567	1341.9	1933.9		0.278		3	d	3	ML433262271
15	Spectrogram 1	1	84.980462828	85.258415567	1341.9	1933.9	1687.5	0.278	126.4	3	d	3	ML433262271
16	Waveform 1	1	83.978784088	85.253171176	947.2	1933.9		1.274		3	t	3	ML433262271
16	Spectrogram 1	1	83.978784088	85.253171176	947.2	1933.9	1687.5	1.274	126.4	3	t	3	ML433262271
17	Waveform 1	1	84.251492436	84.445534915	966.9	1933.9		0.194		NA	cad	3	ML433262271
17	Spectrogram 1	1	84.251492436	84.445534915	966.9	1933.9	1781.2	0.194	100.1	NA	cad	3	ML433262271
18	Waveform 1	1	84.817886697	84.980462828	947.2	1933.9		0.163		NA	cad	3	ML433262271
18	Spectrogram 1	1	84.817886697	84.980462828	947.2	1933.9	1500.0	0.163	105.0	NA	cad	3	ML433262271
