Selection	View	Channel	Begin Time (s)	End Time (s)	Low Freq (Hz)	High Freq (Hz)	Delta Time (s)	Peak Freq (Hz)	Peak Power Density (dB FS/Hz)	total elementos	tipo de nota	canto	nombre archivo
1	Waveform 1	1	3.432001001	3.811776108	1610.3	1982.9	0.3798			3	d	1	XC485489
1	Spectrogram 1	1	3.432001001	3.811776108	1610.3	1982.9	0.3798	1781.250	-21.94	3	d	1	XC485489
2	Waveform 1	1	4.022192045	4.314721520	1352.3	1839.6	0.2925			3	d	1	XC485489
2	Spectrogram 1	1	4.022192045	4.314721520	1352.3	1839.6	0.2925	1687.500	-16.84	3	d	1	XC485489
3	Waveform 1	1	4.473816497	4.766345971	1380.9	1954.3	0.2925			3	d	1	XC485489
3	Spectrogram 1	1	4.473816497	4.766345971	1380.9	1954.3	0.2925	1781.250	-10.24	3	d	1	XC485489
4	Waveform 1	1	3.432001001	4.761213875	1352.3	1982.9	1.3292			3	t	1	XC485489
4	Spectrogram 1	1	3.432001001	4.761213875	1352.3	1982.9	1.3292	1781.250	-10.24	3	t	1	XC485489
6	Waveform 1	1	3.816908204	4.017059949	1380.9	1982.9	0.2002			NA	cad	1	XC485489
6	Spectrogram 1	1	3.816908204	4.017059949	1380.9	1982.9	0.2002	1687.500	-19.37	NA	cad	1	XC485489
7	Waveform 1	1	4.324985712	4.463552305	1380.9	1896.9	0.1386			NA	cad	1	XC485489
7	Spectrogram 1	1	4.324985712	4.463552305	1380.9	1896.9	0.1386	1593.750	-38.67	NA	cad	1	XC485489
8	Waveform 1	1	13.394966273	13.785005572	1581.6	1982.9	0.3900			3	d	2	XC485489
8	Spectrogram 1	1	13.394966273	13.785005572	1581.6	1982.9	0.3900	1781.250	-20.26	3	d	2	XC485489
9	Waveform 1	1	13.974893126	14.287950984	1323.6	1925.6	0.3131			3	d	2	XC485489
9	Spectrogram 1	1	13.974893126	14.287950984	1323.6	1925.6	0.3131	1593.750	-17.72	3	d	2	XC485489
10	Waveform 1	1	14.447045961	14.734443339	1438.3	1982.9	0.2874			3	d	2	XC485489
10	Spectrogram 1	1	14.447045961	14.734443339	1438.3	1982.9	0.2874	1781.250	-11.13	3	d	2	XC485489
11	Waveform 1	1	13.394966273	14.734443339	1404.7	1982.9	1.3395			3	t	2	XC485489
11	Spectrogram 1	1	13.394966273	14.734443339	1404.7	1982.9	1.3395	1781.250	-11.13	3	t	2	XC485489
13	Waveform 1	1	13.785005572	13.964628934	1376.0	1978.0	0.1796			NA	cad	2	XC485489
13	Spectrogram 1	1	13.785005572	13.964628934	1376.0	1978.0	0.1796	1781.250	-37.66	NA	cad	2	XC485489
14	Waveform 1	1	14.303347272	14.431649673	1347.3	1920.7	0.1283			NA	cad	2	XC485489
14	Spectrogram 1	1	14.303347272	14.431649673	1347.3	1920.7	0.1283	1593.750	-36.21	NA	cad	2	XC485489
15	Waveform 1	1	25.778909654	26.174081049	1548.0	2035.3	0.3952			3	d	3	XC485489
15	Spectrogram 1	1	25.778909654	26.174081049	1548.0	2035.3	0.3952	1875.000	-18.86	3	d	3	XC485489
16	Waveform 1	1	26.358836507	26.677026461	1433.3	1978.0	0.3182			3	d	3	XC485489
16	Spectrogram 1	1	26.358836507	26.677026461	1433.3	1978.0	0.3182	1687.500	-14.78	3	d	3	XC485489
17	Waveform 1	1	26.815593054	27.118386720	1462.0	2006.7	0.3028			3	d	3	XC485489
17	Spectrogram 1	1	26.815593054	27.118386720	1462.0	2006.7	0.3028	1875.000	-11.76	3	d	3	XC485489
18	Waveform 1	1	25.773777558	27.128650912	1433.3	2006.7	1.3549			3	t	3	XC485489
18	Spectrogram 1	1	25.773777558	27.128650912	1433.3	2006.7	1.3549	1875.000	-11.76	3	t	3	XC485489
19	Waveform 1	1	26.189477337	26.358836507	1404.7	2006.7	0.1694			NA	cad	3	XC485489
19	Spectrogram 1	1	26.189477337	26.358836507	1404.7	2006.7	0.1694	1500.000	-30.23	NA	cad	3	XC485489
20	Waveform 1	1	26.687290653	26.815593054	1490.7	1978.0	0.1283			NA	cad	3	XC485489
20	Spectrogram 1	1	26.687290653	26.815593054	1490.7	1978.0	0.1283	1593.750	-37.87	NA	cad	3	XC485489
