Selection	View	Channel	Begin Time (s)	End Time (s)	Low Freq (Hz)	High Freq (Hz)	Delta Time (s)	Peak Freq (Hz)	Peak Power Density (dB FS/Hz)	total elementos	tipo de nota	canto	nombre archivo
1	Waveform 1	1	4.318762993	4.635408593	1494.2	1897.0	0.3166			3	d	1	XC245523
1	Spectrogram 1	1	4.318762993	4.635408593	1494.2	1897.0	0.3166	1781.250	-34.87	3	d	1	XC245523
2	Waveform 1	1	4.709292567	5.057602727	1306.3	1950.7	0.3483			3	d	1	XC245523
2	Spectrogram 1	1	4.709292567	5.057602727	1306.3	1950.7	0.3483	1687.500	-30.83	3	d	1	XC245523
3	Waveform 1	1	5.194815820	5.508822707	1467.4	2058.1	0.3140			3	d	1	XC245523
3	Spectrogram 1	1	5.194815820	5.508822707	1467.4	2058.1	0.3140	1687.500	-28.74	3	d	1	XC245523
4	Waveform 1	1	4.313485566	5.506183994	1333.1	1897.0	1.1927			3	t	1	XC245523
4	Spectrogram 1	1	4.313485566	5.506183994	1333.1	1897.0	1.1927	1687.500	-28.74	3	t	1	XC245523
5	Waveform 1	1	4.640686020	4.706653853	1279.4	1923.9	0.0660			NA	cad	1	XC245523
5	Spectrogram 1	1	4.640686020	4.706653853	1279.4	1923.9	0.0660	1687.500	-47.19	NA	cad	1	XC245523
6	Waveform 1	1	5.060241440	5.194815820	1413.7	1897.0	0.1346			NA	cad	1	XC245523
6	Spectrogram 1	1	5.060241440	5.194815820	1413.7	1897.0	0.1346	1687.500	-41.26	NA	cad	1	XC245523
7	Waveform 1	1	16.305469691	16.740857391	1547.9	1843.3	0.4354			3	d	2	XC245523
7	Spectrogram 1	1	16.305469691	16.740857391	1547.9	1843.3	0.4354	1781.250	-35.28	3	d	2	XC245523
8	Waveform 1	1	16.817380078	17.239574211	1413.7	1950.7	0.4222			3	d	2	XC245523
8	Spectrogram 1	1	16.817380078	17.239574211	1413.7	1950.7	0.4222	1687.500	-31.73	3	d	2	XC245523
9	Waveform 1	1	17.305542045	17.711903898	1467.4	1977.6	0.4064			3	d	2	XC245523
9	Spectrogram 1	1	17.305542045	17.711903898	1467.4	1977.6	0.4064	1687.500	-28.11	3	d	2	XC245523
10	Waveform 1	1	16.305469691	17.711903898	1440.5	1923.9	1.4064			3	t	2	XC245523
10	Spectrogram 1	1	16.305469691	17.711903898	1440.5	1923.9	1.4064	1687.500	-28.11	3	t	2	XC245523
11	Waveform 1	1	16.746134818	16.814741364	1386.8	1897.0	0.0686			NA	cad	2	XC245523
11	Spectrogram 1	1	16.746134818	16.814741364	1386.8	1897.0	0.0686	1781.250	-54.77	NA	cad	2	XC245523
12	Waveform 1	1	17.242212925	17.305542045	1413.7	2004.4	0.0633			NA	cad	2	XC245523
12	Spectrogram 1	1	17.242212925	17.305542045	1413.7	2004.4	0.0633	1687.500	-40.56	NA	cad	2	XC245523
13	Waveform 1	1	31.030895613	31.307960513	1547.9	1977.6	0.2771			3	d	3	XC245523
13	Spectrogram 1	1	31.030895613	31.307960513	1547.9	1977.6	0.2771	1781.250	-36.40	3	d	3	XC245523
14	Waveform 1	1	31.413509047	31.814593473	1360.0	2031.3	0.4011			3	d	3	XC245523
14	Spectrogram 1	1	31.413509047	31.814593473	1360.0	2031.3	0.4011	1781.250	-34.98	3	d	3	XC245523
15	Waveform 1	1	31.906948440	32.271090880	1494.2	2031.3	0.3641			3	d	3	XC245523
15	Spectrogram 1	1	31.906948440	32.271090880	1494.2	2031.3	0.3641	1781.250	-27.60	3	d	3	XC245523
16	Waveform 1	1	31.025618186	32.273729594	1360.0	1950.7	1.2481			3	t	3	XC245523
16	Spectrogram 1	1	31.025618186	32.273729594	1360.0	1950.7	1.2481	1781.250	-27.60	3	t	3	XC245523
17	Waveform 1	1	31.307960513	31.410870333	1413.7	1950.7	0.1029			NA	cad	3	XC245523
17	Spectrogram 1	1	31.307960513	31.410870333	1413.7	1950.7	0.1029	1781.250	-51.28	NA	cad	3	XC245523
18	Waveform 1	1	31.819870900	31.909587153	1306.3	2058.1	0.0897			NA	cad	3	XC245523
18	Spectrogram 1	1	31.819870900	31.909587153	1306.3	2058.1	0.0897	1687.500	-47.12	NA	cad	3	XC245523
