Selection	View	Channel	Begin Time (s)	End Time (s)	Low Freq (Hz)	High Freq (Hz)	Peak Freq (Hz)	Delta Time (s)	Max Power (dB)	total elementos	tipo de nota	canto	nombre archivo
1	Waveform 1	1	3.209527215	3.620747889	1456.7	1799.4		0.411		3	d	1	ML396132321
1	Spectrogram 1	1	3.209527215	3.620747889	1456.7	1799.4	1636.5	0.411	117.3	3	d	1	ML396132321
2	Waveform 1	1	3.711015842	4.092147199	1228.2	1685.2		0.381		3	d	1	ML396132321
2	Spectrogram 1	1	3.711015842	4.092147199	1228.2	1685.2	1464.3	0.381	119.2	3	d	1	ML396132321
3	Waveform 1	1	4.167370493	4.568561395	1342.4	1799.4		0.401		3	d	1	ML396132321
3	Spectrogram 1	1	4.167370493	4.568561395	1342.4	1799.4	1550.4	0.401	122.8	3	d	1	ML396132321
4	Waveform 1	1	3.219556987	4.563546509	1174.7	1774.5		1.344		3	t	1	ML396132321
4	Spectrogram 1	1	3.219556987	4.563546509	1174.7	1774.5	1550.4	1.344	122.8	3	t	1	ML396132321
5	Waveform 1	1	3.640807434	3.716030728	1121.1	1720.9		0.075		NA	cad	1	ML396132321
5	Spectrogram 1	1	3.640807434	3.716030728	1121.1	1720.9	1636.5	0.075	100.1	NA	cad	1	ML396132321
6	Waveform 1	1	4.102176972	4.167370493	1228.2	1828.0		0.065		NA	cad	1	ML396132321
6	Spectrogram 1	1	4.102176972	4.167370493	1228.2	1828.0	1378.1	0.065	104.3	NA	cad	1	ML396132321
7	Waveform 1	1	23.380184762	23.721197028	1338.0	1873.2		0.341		3	d	2	ML396132321
7	Spectrogram 1	1	23.380184762	23.721197028	1338.0	1873.2	1636.5	0.341	114.4	3	d	2	ML396132321
8	Waveform 1	1	23.901732934	24.247760087	1177.4	1659.1		0.346		3	d	2	ML396132321
8	Spectrogram 1	1	23.901732934	24.247760087	1177.4	1659.1	1464.3	0.346	117.5	3	d	2	ML396132321
9	Waveform 1	1	24.343042926	24.744233828	1230.9	1873.2		0.401		3	d	2	ML396132321
9	Spectrogram 1	1	24.343042926	24.744233828	1230.9	1873.2	1550.4	0.401	121.2	3	d	2	ML396132321
10	Waveform 1	1	23.370154989	24.749248714	1153.8	1871.7		1.379		3	t	2	ML396132321
10	Spectrogram 1	1	23.370154989	24.749248714	1153.8	1871.7	1550.4	1.379	121.2	3	t	2	ML396132321
11	Waveform 1	1	23.731226801	23.901732934	1153.8	1846.0		0.171		NA	cad	2	ML396132321
11	Spectrogram 1	1	23.731226801	23.901732934	1153.8	1846.0	1550.4	0.171	107.8	NA	cad	2	ML396132321
12	Waveform 1	1	24.257789860	24.343042926	1102.5	1871.7		0.085		NA	cad	2	ML396132321
12	Spectrogram 1	1	24.257789860	24.343042926	1102.5	1871.7	1464.3	0.085	111.8	NA	cad	2	ML396132321
13	Waveform 1	1	55.590275671	55.916243278	1329.8	1705.6		0.326		3	d	3	ML396132321
13	Spectrogram 1	1	55.590275671	55.916243278	1329.8	1705.6	1636.5	0.326	116.3	3	d	3	ML396132321
14	Waveform 1	1	56.081734525	56.422746792	1252.8	1566.1		0.341		3	d	3	ML396132321
14	Spectrogram 1	1	56.081734525	56.422746792	1252.8	1566.1	1464.3	0.341	117.6	3	d	3	ML396132321
15	Waveform 1	1	56.538089176	57.024533145	1378.1	1754.0		0.486		3	d	3	ML396132321
15	Spectrogram 1	1	56.538089176	57.024533145	1378.1	1754.0	1550.4	0.486	122.8	3	d	3	ML396132321
16	Waveform 1	1	55.575231012	57.034562917	1190.2	1754.0		1.459		3	t	3	ML396132321
16	Spectrogram 1	1	55.575231012	57.034562917	1190.2	1754.0	1550.4	1.459	122.8	3	t	3	ML396132321
17	Waveform 1	1	55.921258165	56.076719639	1189.0	1729.4		0.155		NA	cad	3	ML396132321
17	Spectrogram 1	1	55.921258165	56.076719639	1189.0	1729.4	1636.5	0.155	100.4	NA	cad	3	ML396132321
18	Waveform 1	1	56.432776565	56.538089176	1243.0	1729.4		0.105		NA	cad	3	ML396132321
18	Spectrogram 1	1	56.432776565	56.538089176	1243.0	1729.4	1464.3	0.105	103.2	NA	cad	3	ML396132321
