Selection	View	Channel	Begin Time (s)	End Time (s)	Low Freq (Hz)	High Freq (Hz)	Peak Freq (Hz)	Delta Time (s)	Max Power (dB)	total elementos	tipo de nota	canto	nombre archivo
1	Waveform 1	1	4.410241381	4.526350454	1470.0	1919.2		0.116		4	a	1	ML264215601
1	Spectrogram 1	1	4.410241381	4.526350454	1470.0	1919.2	1808.8	0.116	103.9	4	a	1	ML264215601
2	Waveform 1	1	4.685236553	5.216893886	1143.3	1960.0		0.532		4	d	1	ML264215601
2	Spectrogram 1	1	4.685236553	5.216893886	1143.3	1960.0	1808.8	0.532	126.8	4	d	1	ML264215601
3	Waveform 1	1	5.418557013	5.779106238	735.0	1755.8		0.361		4	d	1	ML264215601
3	Spectrogram 1	1	5.418557013	5.779106238	735.0	1755.8	1378.1	0.361	117.8	4	d	1	ML264215601
4	Waveform 1	1	5.925770330	6.255764537	401.2	1789.5		0.330		4	d	1	ML264215601
4	Spectrogram 1	1	5.925770330	6.255764537	401.2	1789.5	1722.7	0.330	128.3	4	d	1	ML264215601
5	Waveform 1	1	4.410241381	6.255764537	571.7	1960.0		1.846		4	t	1	ML264215601
5	Spectrogram 1	1	4.410241381	6.255764537	571.7	1960.0	1808.8	1.846	128.4	4	t	1	ML264215601
6	Waveform 1	1	4.520239450	4.685236553	571.7	1960.0		0.165		NA	cad	1	ML264215601
6	Spectrogram 1	1	4.520239450	4.685236553	571.7	1960.0	1292.0	0.165	87.8	NA	cad	1	ML264215601
7	Waveform 1	1	5.223004890	5.406335005	571.7	1960.0		0.183		NA	cad	1	ML264215601
7	Spectrogram 1	1	5.223004890	5.406335005	571.7	1960.0	1722.7	0.183	101.3	NA	cad	1	ML264215601
8	Waveform 1	1	5.779106238	5.925770330	571.7	1960.0		0.147		NA	cad	1	ML264215601
8	Spectrogram 1	1	5.779106238	5.925770330	571.7	1960.0	1464.3	0.147	104.9	NA	cad	1	ML264215601
9	Waveform 1	1	49.670138985	49.804581069	1057.7	1955.1		0.134		4	a	2	ML264215601
9	Spectrogram 1	1	49.670138985	49.804581069	1057.7	1955.1	1808.8	0.134	99.5	4	a	2	ML264215601
10	Waveform 1	1	50.018466203	50.476791489	820.5	1948.6		0.458		4	d	2	ML264215601
10	Spectrogram 1	1	50.018466203	50.476791489	820.5	1948.6	1722.7	0.458	117.0	4	d	2	ML264215601
11	Waveform 1	1	50.666232608	51.032892838	743.5	1666.6		0.367		4	d	2	ML264215601
11	Spectrogram 1	1	50.666232608	51.032892838	743.5	1666.6	1550.4	0.367	119.9	4	d	2	ML264215601
12	Waveform 1	1	51.185667933	51.515662140	1153.8	1974.2		0.330		4	d	2	ML264215601
12	Spectrogram 1	1	51.185667933	51.515662140	1153.8	1974.2	1808.8	0.330	128.5	4	d	2	ML264215601
13	Waveform 1	1	49.670138985	51.509551136	743.5	1999.9		1.839		4	t	2	ML264215601
13	Spectrogram 1	1	49.670138985	51.509551136	743.5	1999.9	1808.8	1.839	128.5	4	t	2	ML264215601
14	Waveform 1	1	49.810692072	50.018466203	743.5	1999.9		0.208		NA	cad	2	ML264215601
14	Spectrogram 1	1	49.810692072	50.018466203	743.5	1999.9	775.2	0.208	73.6	NA	cad	2	ML264215601
15	Waveform 1	1	50.482902493	50.666232608	743.5	1999.9		0.183		NA	cad	2	ML264215601
15	Spectrogram 1	1	50.482902493	50.666232608	743.5	1999.9	1722.7	0.183	93.5	NA	cad	2	ML264215601
16	Waveform 1	1	51.032892838	51.185667933	743.5	1999.9		0.153		NA	cad	2	ML264215601
16	Spectrogram 1	1	51.032892838	51.185667933	743.5	1999.9	1464.3	0.153	97.5	NA	cad	2	ML264215601
17	Waveform 1	1	98.710338472	98.850891560	1118.1	1976.2		0.141		4	a	3	ML264215601
17	Spectrogram 1	1	98.710338472	98.850891560	1118.1	1976.2	1808.8	0.141	98.1	4	a	3	ML264215601
18	Waveform 1	1	99.070887698	99.529212985	988.1	1924.2		0.458		4	d	3	ML264215601
18	Spectrogram 1	1	99.070887698	99.529212985	988.1	1924.2	1722.7	0.458	121.0	4	d	3	ML264215601
19	Waveform 1	1	99.730876111	100.091425337	702.1	1768.2		0.361		4	d	3	ML264215601
19	Spectrogram 1	1	99.730876111	100.091425337	702.1	1768.2	1550.4	0.361	119.9	4	d	3	ML264215601
20	Waveform 1	1	100.225867421	100.568083635	728.1	1924.2		0.342		4	d	3	ML264215601
20	Spectrogram 1	1	100.225867421	100.568083635	728.1	1924.2	1722.7	0.342	126.7	4	d	3	ML264215601
21	Waveform 1	1	98.710338472	100.568083635	676.1	1976.2		1.858		4	t	3	ML264215601
21	Spectrogram 1	1	98.710338472	100.568083635	676.1	1976.2	1722.7	1.858	126.7	4	t	3	ML264215601
22	Waveform 1	1	98.857002564	99.070887698	676.1	1976.2		0.214		NA	cad	3	ML264215601
22	Spectrogram 1	1	98.857002564	99.070887698	676.1	1976.2	1808.8	0.214	73.1	NA	cad	3	ML264215601
23	Waveform 1	1	99.529212985	99.724765107	676.1	1976.2		0.196		NA	cad	3	ML264215601
23	Spectrogram 1	1	99.529212985	99.724765107	676.1	1976.2	1722.7	0.196	94.1	NA	cad	3	ML264215601
24	Waveform 1	1	100.091425337	100.225867421	676.1	1976.2		0.134		NA	cad	3	ML264215601
24	Spectrogram 1	1	100.091425337	100.225867421	676.1	1976.2	1464.3	0.134	98.3	NA	cad	3	ML264215601
