Selection	View	Channel	Begin Time (s)	End Time (s)	Low Freq (Hz)	High Freq (Hz)	Peak Freq (Hz)	Delta Time (s)	Max Power (dB)	total elementos	tipo de nota	canto	nombre archivo
1	Waveform 1	1	2.479160776	2.924138351	1453.0	1888.8		0.445		3	d	1	ML606410871
1	Spectrogram 1	1	2.479160776	2.924138351	1453.0	1888.8	1781.2	0.445	95.4	3	d	1	ML606410871
4	Waveform 1	1	2.971814519	3.416792094	1209.2	1739.5		0.445		3	d	1	ML606410871
4	Spectrogram 1	1	2.971814519	3.416792094	1209.2	1739.5	1500.0	0.445	97.5	3	d	1	ML606410871
5	Waveform 1	1	3.472414291	3.965068035	1272.8	1951.6		0.493		3	d	1	ML606410871
5	Spectrogram 1	1	3.472414291	3.965068035	1272.8	1951.6	1687.5	0.493	104.9	3	d	1	ML606410871
6	Waveform 1	1	2.479160776	3.965068035	1251.6	1951.6		1.486		3	t	1	ML606410871
6	Spectrogram 1	1	2.479160776	3.965068035	1251.6	1951.6	1687.5	1.486	104.9	3	t	1	ML606410871
7	Waveform 1	1	2.932084379	2.979760548	1246.9	1943.2		0.048		NA	cad	1	ML606410871
7	Spectrogram 1	1	2.932084379	2.979760548	1246.9	1943.2	1687.5	0.048	73.8	NA	cad	1	ML606410871
8	Waveform 1	1	3.424738123	3.472414291	1176.6	1921.5		0.048		NA	cad	1	ML606410871
8	Spectrogram 1	1	3.424738123	3.472414291	1176.6	1921.5	1406.2	0.048	75.9	NA	cad	1	ML606410871
9	Waveform 1	1	12.101830188	12.495138514	1442.7	1958.0		0.393		3	d	2	ML606410871
9	Spectrogram 1	1	12.101830188	12.495138514	1442.7	1958.0	1781.2	0.393	98.0	3	d	2	ML606410871
10	Waveform 1	1	12.534469346	13.079482312	1259.5	1820.6		0.545		3	d	2	ML606410871
10	Spectrogram 1	1	12.534469346	13.079482312	1259.5	1820.6	1500.0	0.545	97.4	3	d	2	ML606410871
11	Waveform 1	1	13.118813145	13.590783136	1328.2	1946.6		0.472		3	d	2	ML606410871
11	Spectrogram 1	1	13.118813145	13.590783136	1328.2	1946.6	1687.5	0.472	105.7	3	d	2	ML606410871
12	Waveform 1	1	12.107448878	13.607639207	1244.0	1931.0		1.500		3	t	2	ML606410871
12	Spectrogram 1	1	12.107448878	13.607639207	1244.0	1931.0	1687.5	1.500	105.7	3	t	2	ML606410871
13	Waveform 1	1	12.489519823	12.540088037	1271.0	1969.5		0.051		NA	cad	2	ML606410871
13	Spectrogram 1	1	12.489519823	12.540088037	1271.0	1969.5	1687.5	0.051	78.1	NA	cad	2	ML606410871
14	Waveform 1	1	13.079482312	13.118813145	1282.4	1980.9		0.039		NA	cad	2	ML606410871
14	Spectrogram 1	1	13.079482312	13.118813145	1282.4	1980.9	1406.2	0.039	75.0	NA	cad	2	ML606410871
15	Waveform 1	1	65.060387002	65.397508425	1442.7	1992.4		0.337		3	d	3	ML606410871
15	Spectrogram 1	1	65.060387002	65.397508425	1442.7	1992.4	1781.2	0.337	100.6	3	d	3	ML606410871
16	Waveform 1	1	65.464932709	65.897571868	1282.4	1786.3		0.433		3	d	3	ML606410871
16	Spectrogram 1	1	65.464932709	65.897571868	1282.4	1786.3	1593.8	0.433	99.7	3	d	3	ML606410871
17	Waveform 1	1	65.981852223	66.324592336	1297.1	1926.9		0.343		3	d	3	ML606410871
17	Spectrogram 1	1	65.981852223	66.324592336	1297.1	1926.9	1687.5	0.343	102.6	3	d	3	ML606410871
18	Waveform 1	1	65.066005693	66.324592336	1282.4	1992.4		1.259		3	t	3	ML606410871
18	Spectrogram 1	1	65.066005693	66.324592336	1282.4	1992.4	1687.5	1.259	102.6	3	t	3	ML606410871
19	Waveform 1	1	65.403127115	65.459314019	1271.0	1992.4		0.056		NA	cad	3	ML606410871
19	Spectrogram 1	1	65.403127115	65.459314019	1271.0	1992.4	1687.5	0.056	80.3	NA	cad	3	ML606410871
20	Waveform 1	1	65.897571868	65.987470914	1293.9	2003.8		0.090		NA	cad	3	ML606410871
20	Spectrogram 1	1	65.897571868	65.987470914	1293.9	2003.8	1500.0	0.090	81.4	NA	cad	3	ML606410871
