cad,singing,ID,date,region
0.2704,3,XC572620,2020-06-08,Risaralda
0.1407,1,XC572856,2019-12-09,Cundinamarca
0.1829,2,XC572856,2019-12-09,Cundinamarca
0.2026,1,XC572856,2019-12-09,Cundinamarca
0.1998,2,XC572856,2019-12-09,Cundinamarca
0.1772,3,XC572856,2019-12-09,Cundinamarca
0.1604,3,XC572856,2019-12-09,Cundinamarca
0.1969,1,XC572856,2019-12-09,Cundinamarca
0.0732,2,XC572856,2019-12-09,Cundinamarca
0.0422,3,XC572856,2019-12-09,Cundinamarca
0.1665,1,XC585286,2020-06-21,Cundinamarca
0.0957,2,XC585286,2020-06-21,Cundinamarca
0.1332,1,XC585286,2020-06-21,Cundinamarca
0.05,3,XC585286,2020-06-21,Cundinamarca
0.0874,2,XC585286,2020-06-21,Cundinamarca
0.0957,3,XC585286,2020-06-21,Cundinamarca
0.0374,1,XC687383,2021-05-25,Santander
0.1149,2,XC687383,2021-05-25,Santander
0.131,2,XC687383,2021-05-25,Santander
0.1229,1,XC687383,2021-05-25,Santander
0.131,3,XC687383,2021-05-25,Santander
0.1149,3,XC687383,2021-05-25,Santander
0.0055,1,XC769052,2022-11-13,Cesar
0.011,2,XC769052,2022-11-13,Cesar
0.0329,1,XC769052,2022-11-13,Cesar
0.0164,3,XC769052,2022-11-13,Cesar
0.0329,3,XC769052,2022-11-13,Cesar
0.0055,2,XC769052,2022-11-13,Cesar
0.1257,1,XC771976,2022-11-11,Cesar
0.1741,2,XC771976,2022-11-11,Cesar
0.1838,1,XC771976,2022-11-11,Cesar
0.0967,3,XC771976,2022-11-11,Cesar
0.1354,3,XC771976,2022-11-11,Cesar
0.2418,2,XC771976,2022-11-11,Cesar
0.2001,1,XC786228,2023-03-15,Tolima
0.1134,1,XC786228,2023-03-15,Tolima
0.1735,2,XC786228,2023-03-15,Tolima
0.1134,2,XC786228,2023-03-15,Tolima
0.1601,3,XC786228,2023-03-15,Tolima
0.0934,3,XC786228,2023-03-15,Tolima
0.0754,1,XC854527,2023-12-07,Caldas
0.0628,2,XC854527,2023-12-07,Caldas
0.0691,2,XC854527,2023-12-07,Caldas
0.0942,1,XC854527,2023-12-07,Caldas
0.0785,3,XC854527,2023-12-07,Caldas
0.0503,3,XC854527,2023-12-07,Caldas
0.1478,1,XC871762,2024-02-07,Antioquia
0.1198,1,XC871762,2024-02-07,Antioquia
0.1997,2,XC871762,2024-02-07,Antioquia
0.1877,2,XC871762,2024-02-07,Antioquia
0.1678,3,XC871762,2024-02-07,Antioquia
0.1558,3,XC871762,2024-02-07,Antioquia
0.2194,1,XC871762,2024-02-07,Antioquia
0.1951,1,XC871762,2024-02-07,Antioquia
0.2155,2,XC871762,2024-02-07,Antioquia
0.1667,2,XC871762,2024-02-07,Antioquia
0.1781,3,XC871762,2024-02-07,Antioquia
