Link;ID ;nlat;slat;elon;wlon;region;fecha;anio
https://macaulaylibrary.org/asset/472770151;ML472770151;10.37;10.12;-72.96;-73.21;Cesar;26/03/2022;2022
https://macaulaylibrary.org/asset/433146461;ML433146461;5.07;4.82;-73.71;-73.96;Cundinamarca;6/04/2022;2022
https://macaulaylibrary.org/asset/433262271;ML433262271;5.07;4.82;-73.71;-73.96;Cundinamarca;7/04/2022;2022
https://xeno-canto.org/742271;XC742271;5.08;4.83;-75.44;-75.69;Manizales;6/07/2022;2022
https://macaulaylibrary.org/asset/472610061;ML472610061;5.07;4.82;-73.71;-73.96;Cundinamarca;1/08/2022;2022
https://macaulaylibrary.org/asset/610239872;ML610239872;4.6;4.35;-74.06;-74.31;Bogota;2/08/2022;2022
https://macaulaylibrary.org/asset/500026221;ML500026221;1.79;1.54;-76.33;-76.58;Huila;20/10/2022;2022
https://xeno-canto.org/771976;XC771976;10.36;10.11;-72.98;-73.23;Cesar;11/11/2022;2022
https://xeno-canto.org/769052;XC769052 ;10.37;10.12;-72.95;-73.2;Cesar;13/11/2022;2022
https://xeno-canto.org/764089;XC764089;10.37;10.12;-72.95;-73.2;Cesar;13/11/2022;2022
https://macaulaylibrary.org/asset/528465751;ML528465751;4.69;4.44;-75.55;-75.8;Quindio;26/01/2023;2023
https://macaulaylibrary.org/asset/528465711;ML528465711;4.69;4.44;-75.55;-75.8;Quindio;26/01/2023;2023
https://xeno-canto.org/780567;XC780567 ;4.66;4.41;-75.58;-75.83;Quindio;26/01/2023;2023
https://xeno-canto.org/780564;XC780564 ;4.66;4.41;-75.58;-75.83;Quindío;26/01/2023;2023
https://xeno-canto.org/786228;XC786228;4.58;4.33;-75.33;-75.58;Tolima;15/03/2023;2023
https://macaulaylibrary.org/asset/590680711;ML590680711;5;4.75;-74.14;-74.39;Cundinamarca;29/06/2023;2023
macaulaylibrary.org/asset/590839041;ML590839041;5;4.75;-74.15;-74.4;Cundinamarca;30/06/2023;2023
https://macaulaylibrary.org/asset/612537754;ML612537754;4.61;4.36;-74.31;-74.56;Cundinamarca;30/07/2023;2023
https://macaulaylibrary.org/asset/606410871;ML606410871;4.69;4.44;-74.03;-74.28;Bogota;16/08/2023;2023
https://macaulaylibrary.org/asset/606407281;ML606407281;4.69;4.44;-74.03;-74.28;Bogota;16/08/2023;2023
https://macaulaylibrary.org/asset/491945461;ML491945461;6.03;5.78;-75.37;-75.62;Antioquia;9/10/2023;2023
https://xeno-canto.org/854527;XC854527;5.09;4.84;-75.5;-75.75;Caldas;7/12/2023;2023
https://macaulaylibrary.org/asset/612592373;ML612592373;6.34;6.09;-75.63;-75.88;Antioquia;23/12/2023;2023
https://macaulaylibrary.org/asset/613946456;ML613946456;4.82;4.57;-73.77;-74.02;Cundinamarca;3/01/2024;2024
https://macaulaylibrary.org/asset/614013052;ML614013052;4.66;4.41;-73.96;-74.21;Cundinamarca;18/01/2024;2024
https://macaulaylibrary.org/asset/614561334;ML614561334;6.32;6.07;-75.66;-75.91;Antioquia;7/02/2024;2024
https://xeno-canto.org/871762;XC871762;6.33;6.08;-75.65;-75.9;Antioquia;7/02/2024;2024
https://macaulaylibrary.org/asset/616703718;ML616703718;5.07;4.82;-75.44;-75.69;Caldas;24/03/2024;2024
