ID;year;temperature;precipitation;elevation;note;start_time_s;end_time_s;low_freqz_hz;high_freq_hz;delta_time_s;peak_freq_hz
XC127873;2013;16.67129889;17.33080053;1253.091675;t;11.71133349;13.55327828;1106.7;1927.966667;1.841933333;1550.391
XC127873;2013;16.67129889;17.33080053;1253.091675;a;11.71681547;11.84015999;1252.833333;1886.233333;0.123333333;1722.656
XC127873;2013;16.67129889;17.33080053;1253.091675;cad;12.37922121;12.52906196;1106.7;1930.3;0.149822222;1406.836
XC127873;2013;16.67129889;17.33080053;1253.091675;d;12.52906196;12.943865;1225;1788.777778;0.4148;1579.101667
XC202803;2014;18.69588857;3.85794574;751.671875;cad;13.74536546;13.93806975;1339.8;1881.177778;0.1927;1531.250111
XC202803;2014;18.69588857;3.85794574;751.671875;a;13.07508966;13.14810185;1514.833333;1860.5;0.073;1722.656
XC202803;2014;18.69588857;3.85794574;751.671875;d;13.93926667;14.36257775;1391.3;1834.122222;0.4233;1665.234333
XC202803;2014;18.69588857;3.85794574;751.671875;t;13.07269582;14.99854181;1285.8;1886.733333;1.9258;1722.656
XC299429;2014;16.52403508;10.92044487;1233.732544;cad;7.84345497;7.9628491;1190.75;1940.283333;0.119416667;1507.324167
XC299429;2014;16.52403508;10.92044487;1233.732544;d;7.71145156;8.102339271;1333.8;1789.155556;0.390877778;1569.531222
XC299429;2014;16.52403508;10.92044487;1233.732544;t;7.201563764;8.608286666;1208.9;1922.133333;1.406733333;1579.101667
XC211072;2015;13.22326683;1.724711948;2643.577393;d;13.83658689;14.14099245;1372.9625;1810.9625;0.3044125;1625.756625
XC211072;2015;13.22326683;1.724711948;2643.577393;a;2.642921621;2.987942503;1550.9;1945.1;0.345;1722.656
XC211072;2015;13.22326683;1.724711948;2643.577393;cad;12.66337646;12.83421204;1229.7;1894;0.170833333;1579.101667
XC211072;2015;13.22326683;1.724711948;2643.577393;t;12.10453195;13.38077425;1273.5;1930.5;1.276233333;1665.234
XC211079;2015;13.26532757;1.726755293;2609.249756;cad;15.40117866;15.56334037;1328.416667;1870.216667;0.162183333;1564.746167
XC211079;2015;13.26532757;1.726755293;2609.249756;d;15.29920067;15.64135632;1395.011111;1824.455556;0.342166667;1655.664
XC211079;2015;13.26532757;1.726755293;2609.249756;t;14.76757773;16.10833748;1303.5;1862.7;1.340766667;1693.945
XC215991;2015;12.72576581;7.415752553;2975.842285;t;16.53886354;17.90405219;1244.5;1850.3;1.3652;1550.391
