ID;year;temperature;precipitation;max_temp;min_temp;elevation;date;region
ML69012591;2017;15.52950933;18.65398194;14.92935805;14.22794925;2438.375977;5/09/2017;Boyaca
ML83789761;2018;14.68467117;1.443294233;13.99350428;13.15894379;2438.375977;13/01/2018;Boyaca
ML87782381;2018;19.31965702;26.49956821;18.14809877;17.62551048;1630.414063;1/02/2018;Antioquia
ML90485401;2016;13.55439903;14.81858747;12.66526289;12.0172019;2569.896973;22/11/2016;Cundinamarca
ML98599161;2018;17.60335669;14.5508808;16.57012138;15.87671466;3077.200439;5/05/2018;Tolima
XC127873;2013;16.67129889;17.33080053;14.69587744;14.02348747;1253.091675;21/03/2013;Tolima
XC202803;2014;18.69588857;3.85794574;16.76385734;16.16288021;751.671875;16/11/2014;Antioquia
XC211072;2015;13.22326683;1.724711948;12.93646893;12.21748698;2643.577393;17/01/2015;Cundinamarca
XC211079;2015;13.26532757;1.726755293;12.97451132;12.25842506;2609.249756;10/01/2015;Cundinamarca
XC215991;2015;12.72576581;7.415752553;12.44898753;11.90126855;2975.842285;3/03/2015;Boyaca
XC245523;2015;19.29518046;11.2459942;18.62975566;17.91962978;1661.50708;8/04/2015;Casanare
XC245534;2015;19.29518046;11.2459942;18.62975566;17.91962978;1661.50708;9/04/2015;Casanare
XC245584;2015;18.91025974;12.3143614;18.28392454;17.60592619;2847.764648;11/04/2015;Casanare
XC247859;2015;13.19533214;23.03023612;12.18235272;11.70168349;3280.258301;3/06/2015;Putumayo
XC267703;2015;17.61822069;3.454424275;16.76977305;16.20260419;2773.006348;2/08/2015;Boyaca
XC299429;2014;16.52403508;10.92044487;15.4220989;14.82940824;1233.732544;13/02/2014;Risaralda
XC302211;2016;18.96188677;5.823866793;17.72219153;16.94284669;1148.583984;31/01/2016;Quindio
XC308138;2016;15.86215599;2.667818388;14.56268345;13.90273185;2552.894531;22/03/2016;Cundinamarca
XC311839;2014;19.90258317;8.947452264;18.48079408;17.79587045;1530.428589;15/08/2014;Antioquia
XC312397;2016;20.33337012;9.108998039;19.82596023;19.17346959;872.855835;1/04/2016;Cundinamarca
XC331467;2016;19.3275762;10.40668733;18.01731465;17.31552779;2647.302002;8/04/2016;Antioquia
XC331468;2016;19.3275762;10.40668733;18.01731465;17.31552779;2647.302002;8/04/2016;Antioquia
XC376458;2017;16.60864685;7.145403627;14.6269303;13.84094131;1550.279175;11/02/2017;Quindio
XC402340;2018;14.76201048;1.477569395;14.07081401;13.23450313;2326.181152;13/01/2018;Boyaca
XC423762;2017;17.02027066;12.15624196;15.80271417;15.05964678;2091.326416;14/06/2017;Tolima
XC432481;2018;19.62020372;7.903449399;18.36488951;17.72096825;964.2814941;8/07/2018;Cundinamarca
XC442567;2018;18.60100057;27.40672234;17.44491834;16.83417096;929.1038818;14/11/2018;Risaralda
XC460825;2019;17.56646412;10.2742593;17.28766684;16.77687365;889.3981934;7/03/2019;Cundinamarca
XC469911;2019;13.5909368;12.09683255;13.27965731;12.58870477;2658.412109;20/04/2019;Boyaca
XC476982;2019;13.69063762;11.80894718;13.32551056;12.81303288;2799.038818;26/05/2021;Boyaca
XC484121;2023;17.18412759;6.860231097;16.0070841;15.39114051;1762.445923;23/06/2019;Santander
XC485489;2019;19.37255258;2.039669799;18.14584875;17.5801426;690.7463989;22/06/2019;Boyaca
XC538307;2020;17.68900478;9.639738304;16.33553077;15.72073174;1174.746704;10/03/2020;Risaralda
XC550983;2020;14.9039713;6.225654319;14.08965776;13.5241757;2653.749023;26/04/2020;Cundinamarca
XC572620;2020;20.71641945;32.98191288;19.5106545;19.02776406;2342.922607;8/06/2020;Risaralda
XC572856;2019;18.62716382;1.75155381;17.86366462;17.26560041;920.2996826;9/12/2019;Cundinamarca
XC585286;2020;14.6750516;4.868882415;14.36580717;13.84235074;2632.974365;21/06/2020;Cundinamarca
XC672764;2021;14.63452844;4.404104934;13.77778206;13.07603955;2643.577393;3/09/2021;Cundinamarca
XC687383;2021;16.11970712;14.70276954;15.61261238;14.7103191;1776.606934;25/05/2021;Santander
ML472610061;2022;11.99573468;3.118628552;11.86916062;11.13819353;2613.200439;1/08/2022;Cundinamarca
ML610239872;2022;14.22411874;2.759500093;13.96467212;13.22631135;2126.039551;2/08/2022;Cundinamarca
ML500026221;2022;15.88780422;8.003697789;15.19126528;14.6383831;2748.1604;20/10/2022;Huila
XC771976;2022;23.08190656;1.561791603;21.90686638;21.40558184;107.6432419;11/11/2022;Cesar
XC764089;2022;22.74061915;1.683599784;21.56547729;21.07021188;130.9077148;13/11/2022;Cesar
XC771746;2021;21.85638706;1.183450832;21.22732085;20.60088616;130.9077148;13/11/2021;Cesar
XC769052;2022;22.74061915;1.683599784;21.56547729;21.07021188;130.9077148;13/11/2022;Cesar
XC780564 ;2023;16.41579708;22.92827677;15.30983242;14.76335139;1029.528198;26/01/2023;Quindio
XC780567;2023;16.41579708;22.92827677;15.30983242;14.76335139;1029.528198;26/01/2023;Quindio
XC786228;2023;16.4180645;15.05876263;14.85950729;14.07969217;1981.697876;15/03/2023;Tolima
XC854527;2023;18.12447542;16.60946128;17.00498326;16.387127;1298.281006;7/12/2023;Caldas
XC871762;2024;21.27490999;1.618165589;20.50319902;19.504506;1289.904541;7/02/2024;Antioquia
