ID,year,temperature,precipitation,max_temp,min_temp,elevation,date,region,low_freq_hz,high_freq_hz,delta_time_s,peak_freq_hz,total_elements,note,singing
ML160994421,2019,13.72434813,11.67173206,13.35714947,12.84268257,2753.991943,2019-05-26,Boyaca,917.2,1736.1,0.417,1550.4,3,d,2
ML160994421,2019,13.72434813,11.67173206,13.35714947,12.84268257,2753.991943,2019-05-26,Boyaca,1179.2,1867.1,0.429,1722.7,3,d,2
ML160994421,2019,13.72434813,11.67173206,13.35714947,12.84268257,2753.991943,2019-05-26,Boyaca,917.2,1867.1,1.534,1722.7,3,t,2
ML160994421,2019,13.72434813,11.67173206,13.35714947,12.84268257,2753.991943,2019-05-26,Boyaca,1264.2,1843.6,0.423,1636.5,3,d,3
ML160994421,2019,13.72434813,11.67173206,13.35714947,12.84268257,2753.991943,2019-05-26,Boyaca,1053.5,1738.3,0.404,1550.4,3,d,3
ML160994421,2019,13.72434813,11.67173206,13.35714947,12.84268257,2753.991943,2019-05-26,Boyaca,1106.2,1896.3,0.341,1722.7,3,d,3
ML160994421,2019,13.72434813,11.67173206,13.35714947,12.84268257,2753.991943,2019-05-26,Boyaca,1053.5,1896.3,1.42,1722.7,3,t,3
ML160994421,2019,13.72434813,11.67173206,13.35714947,12.84268257,2753.991943,2019-05-26,Boyaca,786.1,1965.3,1.616,1722.7,3,t,1
ML160994421,2019,13.72434813,11.67173206,13.35714947,12.84268257,2753.991943,2019-05-26,Boyaca,1048.2,1867.1,0.518,1636.5,3,d,2
ML168748811,2019,18.39249678,11.19950077,17.009444,16.32245816,1193.996582,2019-07-06,Risaralda,1265.8,1776.2,0.348,1636.5,3,d,1
ML168748811,2019,18.39249678,11.19950077,17.009444,16.32245816,1193.996582,2019-07-06,Risaralda,1286.2,1776.2,1.428,1636.5,3,t,1
ML168748811,2019,18.39249678,11.19950077,17.009444,16.32245816,1193.996582,2019-07-06,Risaralda,1470,1755.8,0.424,1636.5,3,d,1
ML168748811,2019,18.39249678,11.19950077,17.009444,16.32245816,1193.996582,2019-07-06,Risaralda,1306.7,1653.7,0.508,1464.3,3,d,1
ML168748811,2019,18.39249678,11.19950077,17.009444,16.32245816,1193.996582,2019-07-06,Risaralda,1276,1786.5,0.389,1636.5,3,d,2
ML168748811,2019,18.39249678,11.19950077,17.009444,16.32245816,1193.996582,2019-07-06,Risaralda,1225,1786.5,1.463,1636.5,3,t,2
ML168748811,2019,18.39249678,11.19950077,17.009444,16.32245816,1193.996582,2019-07-06,Risaralda,1480.2,1760.9,0.375,1636.5,3,d,3
ML168748811,2019,18.39249678,11.19950077,17.009444,16.32245816,1193.996582,2019-07-06,Risaralda,1222,1684.4,0.446,1464.3,3,d,3
ML168748811,2019,18.39249678,11.19950077,17.009444,16.32245816,1193.996582,2019-07-06,Risaralda,1209.2,1796.2,0.367,1636.5,3,d,3
ML168748811,2019,18.39249678,11.19950077,17.009444,16.32245816,1193.996582,2019-07-06,Risaralda,1183.7,1783.5,1.419,1636.5,3,t,3
ML168748811,2019,18.39249678,11.19950077,17.009444,16.32245816,1193.996582,2019-07-06,Risaralda,1454.7,1735.4,0.381,1636.5,3,d,2
ML168748811,2019,18.39249678,11.19950077,17.009444,16.32245816,1193.996582,2019-07-06,Risaralda,1327.1,1658.9,0.454,1550.4,3,d,2
ML176085171,2019,12.52552246,4.827568682,12.4634097,11.81269662,2753.991943,2019-09-07,Boyaca,1362.9,1799,0.443,1636.5,3,d,1
